Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 531472 "," 497358 "," 513535 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -373310 "," -341158 "," -365832 "
3.03," Resultado Bruto "," 158162 "," 156200 "," 147703 "
3.04," Despesas/Receitas Operacionais "," -141348 "," -151103 "," -143795 "
3.04.01," Despesas com Vendas "," -1063 "," -1165 "," -1273 "
3.04.02," Despesas Gerais e Administrativas "," -145927 "," -146218 "," -140769 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 5642 "," -3720 "," -1753 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 16814 "," 5097 "," 3908 "
3.06," Resultado Financeiro "," -38841 "," -38891 "," -32137 "
3.06.01," Receitas Financeiras "," 1008 "," 2256 "," 1300 "
3.06.02," Despesas Financeiras "," -39849 "," -41147 "," -33437 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -22027 "," -33794 "," -28229 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -22762 "," 10163 "," 9205 "
3.08.01," Corrente "," -30 "," -264 "," -739 "
3.08.02," Diferido "," -22732 "," 10427 "," 9944 "
3.09," Resultado Líquido das Operações Continuadas "," -44789 "," -23631 "," -19024 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -44789 "," -23631 "," -19024 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -44789 "," -23631 "," -19024 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -13.79000 "," -7.28000 "," -5.86000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -13.79000 "," -7.28000 "," -5.86000 "
