Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 189265 "," 146113 "," 128445 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -178034 "," -154209 "," -142154 "
3.03," Resultado Bruto "," 11231 "," -8096 "," -13709 "
3.04," Despesas/Receitas Operacionais "," -33421 "," -23168 "," -37739 "
3.04.01," Despesas com Vendas "," -1251 "," -1232 "," -1398 "
3.04.02," Despesas Gerais e Administrativas "," -13161 "," -14399 "," -16858 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -19009 "," -7537 "," -19483 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -22190 "," -31264 "," -51448 "
3.06," Resultado Financeiro "," -11057 "," -7447 "," -5624 "
3.06.01," Receitas Financeiras "," 5463 "," 3678 "," 7793 "
3.06.02," Despesas Financeiras "," -16520 "," -11125 "," -13417 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -33247 "," -38711 "," -57072 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -33247 "," -38711 "," -57072 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -33247 "," -38711 "," -57072 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
