Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 148772 "," 72340 "," 40 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -73134 "," -24848 "," 0 "
3.03," Resultado Bruto "," 75638 "," 47492 "," 40 "
3.04," Despesas/Receitas Operacionais "," -27976 "," 54392 "," 35288 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -21408 "," -1785 "," -135 "
3.04.02.01," Despesas gerais e administrativas "," -20127 "," -1200 "," -100 "
3.04.02.02," Tributárias "," -1281 "," -585 "," -35 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -1580 "," 0 "," 0 "
3.04.03.01," Perda no reconhecimento inicial do investimento em coligada "," -1580 "," 0 "," 0 "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -5161 "," 0 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," 173 "," 56177 "," 35423 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 47662 "," 101884 "," 35328 "
3.06," Resultado Financeiro "," -842 "," -306 "," -180 "
3.06.01," Receitas Financeiras "," 3092 "," 1233 "," 985 "
3.06.02," Despesas Financeiras "," -3934 "," -1539 "," -1165 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 46820 "," 101578 "," 35148 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -4496 "," -4418 "," -311 "
3.08.01," Corrente "," -4496 "," -4418 "," -311 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 42324 "," 97160 "," 34837 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 42324 "," 97160 "," 34837 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 42324 "," 97160 "," 34837 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.40000 "," 9716.02000 "," 3483.70000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.40000 "," 9716.02000 "," 3483.70000 "
