Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 130584 "," 91781 "," 139215 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -34990 "," -30752 "," -36459 "
3.03," Resultado Bruto "," 95594 "," 61029 "," 102756 "
3.04," Despesas/Receitas Operacionais "," -45251 "," -44795 "," 14345 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -52445 "," -48523 "," -58646 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 7194 "," 3728 "," 72991 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 50343 "," 16234 "," 117101 "
3.06," Resultado Financeiro "," -287347 "," -429669 "," -144231 "
3.06.01," Receitas Financeiras "," 419303 "," 522528 "," 390717 "
3.06.02," Despesas Financeiras "," -706650 "," -952197 "," -534948 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -237004 "," -413435 "," -27130 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -19466 "," -59507 "," -7182 "
3.08.01," Corrente "," -18833 "," -51091 "," -23147 "
3.08.02," Diferido "," -633 "," -8416 "," 15965 "
3.09," Resultado Líquido das Operações Continuadas "," -256470 "," -472942 "," -34312 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -256470 "," -472942 "," -34312 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -256470 "," -472942 "," -34312 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -136.76000 "," -252.19000 "," -0.51000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
