Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 6615255 "," 4942186 "," 4310974 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -5500057 "," -4001002 "," -3547172 "
3.03," Resultado Bruto "," 1115198 "," 941184 "," 763802 "
3.04," Despesas/Receitas Operacionais "," -505836 "," -476353 "," -387562 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -553914 "," -475118 "," -409878 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 8705 "," -2128 "," 2693 "
3.04.04," Outras Receitas Operacionais "," 97850 "," 16242 "," 53991 "
3.04.05," Outras Despesas Operacionais "," -58477 "," -15349 "," -34368 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 609362 "," 464831 "," 376240 "
3.06," Resultado Financeiro "," -39894 "," -48620 "," -53406 "
3.06.01," Receitas Financeiras "," 151209 "," 127060 "," 87102 "
3.06.02," Despesas Financeiras "," -191103 "," -175680 "," -140508 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 569468 "," 416211 "," 322834 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -169720 "," -133565 "," -110568 "
3.08.01," Corrente "," -197994 "," -151992 "," -133507 "
3.08.02," Diferido "," 28274 "," 18427 "," 22939 "
3.09," Resultado Líquido das Operações Continuadas "," 399748 "," 282646 "," 212266 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 399748 "," 282646 "," 212266 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 399675 "," 282646 "," 212266 "
3.11.02," Atribuído a Sócios Não Controladores "," 73 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.62000 "," 0.49000 "," 37.82000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.62000 "," 0.49000 "," 37.82000 "
