Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 182997 "," 63015 "," 52147 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -100935 "," -25444 "," -22279 "
3.02.01," Custos dos serviços prestados "," -93451 "," -25444 "," -22279 "
3.02.02," Custos das mercadorias vendidas "," -7484 "," 0 "," 0 "
3.03," Resultado Bruto "," 82062 "," 37571 "," 29868 "
3.04," Despesas/Receitas Operacionais "," -43129 "," -6454 "," -5782 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -45046 "," -6657 "," -7540 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 1512 "," 203 "," 1758 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 405 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 38933 "," 31117 "," 24086 "
3.06," Resultado Financeiro "," -9475 "," 267 "," 135 "
3.06.01," Receitas Financeiras "," 2456 "," 332 "," 237 "
3.06.02," Despesas Financeiras "," -11931 "," -65 "," -102 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 29458 "," 31384 "," 24221 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -5042 "," -2127 "," -1630 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 24416 "," 29257 "," 22591 "
3.10," Resultado Líquido de Operações Descontinuadas "," -1015 "," 0 "," 0 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," -1015 "," 0 "," 0 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 23401 "," 29257 "," 22591 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 23401 "," 29257 "," 22591 "
3.11.02," Atribuído a Sócios Não Controladores "," 126 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
