Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 856637 "," 675576 "," 754270 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -369186 "," -275261 "," -252174 "
3.03," Resultado Bruto "," 487451 "," 400315 "," 502096 "
3.04," Despesas/Receitas Operacionais "," -100233 "," -41281 "," 5677 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -108809 "," -83901 "," -96021 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 35077 "," 71151 "," 196082 "
3.04.05," Outras Despesas Operacionais "," -29330 "," -31845 "," -95573 "
3.04.06," Resultado de Equivalência Patrimonial "," 2829 "," 3314 "," 1189 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 387218 "," 359034 "," 507773 "
3.06," Resultado Financeiro "," 131693 "," -87447 "," -107331 "
3.06.01," Receitas Financeiras "," 403026 "," 66089 "," 58290 "
3.06.02," Despesas Financeiras "," -271333 "," -153536 "," -165621 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 518911 "," 271587 "," 400442 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -174828 "," -69263 "," -86141 "
3.08.01," Corrente "," -45032 "," -40309 "," -57998 "
3.08.02," Diferido "," -129796 "," -28954 "," -28143 "
3.09," Resultado Líquido das Operações Continuadas "," 344083 "," 202324 "," 314301 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 344083 "," 202324 "," 314301 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 341970 "," 202242 "," 310129 "
3.11.02," Atribuído a Sócios Não Controladores "," 2113 "," 82 "," 4172 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.94077 "," 1.14845 "," 1.75890 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.94057 "," 1.14831 "," 1.75867 "
