Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 858064 "," 676664 "," 755353 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -369223 "," -275319 "," -252215 "
3.03," Resultado Bruto "," 488841 "," 401345 "," 503138 "
3.04," Despesas/Receitas Operacionais "," -147457 "," -67067 "," -20231 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -143340 "," -107392 "," -121401 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 35094 "," 76575 "," 140856 "
3.04.04.02," Outras receitas "," 35094 "," 76575 "," 140856 "
3.04.04.03," Ganho Participação em Investimento "," "," "," "
3.04.05," Outras Despesas Operacionais "," -42040 "," -33514 "," -39437 "
3.04.05.03," Outras despesas operacionais "," -42040 "," -33514 "," -39437 "
3.04.06," Resultado de Equivalência Patrimonial "," 2829 "," -2736 "," -249 "
3.04.06.01," Equivalência Patrimonial "," 2829 "," -2736 "," -249 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 341384 "," 334278 "," 482907 "
3.06," Resultado Financeiro "," 195507 "," -88935 "," -111178 "
3.06.01," Receitas Financeiras "," 487775 "," 73566 "," 62119 "
3.06.02," Despesas Financeiras "," -292268 "," -162501 "," -173297 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 536891 "," 245343 "," 371729 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -190686 "," -69263 "," -86141 "
3.08.01," Corrente "," -45032 "," -40309 "," -57998 "
3.08.02," Diferido "," -145654 "," -28954 "," -28143 "
3.09," Resultado Líquido das Operações Continuadas "," 346205 "," 176080 "," 285588 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 346205 "," 176080 "," 285588 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 239024 "," 76500 "," 128664 "
3.11.02," Atribuído a Sócios Não Controladores "," 107181 "," 99580 "," 156924 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.20426 "," 0.08704 "," 1.46394 "
3.99.01.02," PN "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.20421 "," 0.08703 "," 1.46305 "
3.99.02.02," PN "," "," "," "
