Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receitas de Intermediação Financeira "," 10644 "," 6175 "," 13047 "
3.01.01," Receitas de Juros e Similares "," 9719 "," 6159 "," 13014 "
3.01.02," Outras Receitas "," 925 "," 16 "," 33 "
3.02," Despesas de Intermediação Financeira "," "," "," "
3.03," Resultado Bruto de Intermediação Financeira "," 10644 "," 6175 "," 13047 "
3.04," Outras Despesas e Receitas Operacionais "," -1110 "," -713 "," -1034 "
3.04.01," Despesa de Provisão para Perda Esperada para Risco de Crédito "," "," "," "
3.04.02," Receitas de Prestação de Serviços "," "," "," "
3.04.03," Despesas com Pessoal "," "," "," "
3.04.04," Outras Despesas de Administrativas "," -609 "," -378 "," -394 "
3.04.05," Despesas Tributárias "," -501 "," -335 "," -640 "
3.04.06," Outras Receitas Operacionais "," "," "," "
3.04.07," Outras Despesas Operacionais "," "," "," "
3.04.08," Resultado da Equivalência Patrimonial "," "," "," "
3.05," Resultado antes dos Tributos sobre o Lucro "," 9534 "," 5462 "," 12013 "
3.06," Imposto de Renda e Contribuição Social sobre o Lucro "," -2991 "," -2061 "," -4248 "
3.06.01," Corrente "," -2979 "," -2052 "," -3941 "
3.06.02," Diferido "," -12 "," -9 "," -307 "
3.07," Lucro ou Prejuízo das Operações Continuadas "," 6543 "," 3401 "," 7765 "
3.08," Resultado Líquido das Operações Descontinuadas "," "," "," "
3.09," Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias "," 6543 "," 3401 "," 7765 "
3.10," Participações nos Lucros e Contribuições Estatutárias "," "," "," "
3.11," Lucro ou Prejuízo Líquido do Período "," 6543 "," 3401 "," 7765 "
3.99," Lucro por Ação (R$/Ação) "," 10.90000 "," 5.66000 "," 12.94000 "
3.99.01," Lucro Básico por Ação "," 5.45000 "," 2.83000 "," 6.47000 "
3.99.01.01," ON "," 2.60000 "," 1.35000 "," 3.08000 "
3.99.01.02," PN "," 2.85000 "," 1.48000 "," 3.39000 "
3.99.02," Lucro Diluído por Ação "," 5.45000 "," 2.83000 "," 6.47000 "
3.99.02.01," ON "," 2.60000 "," 1.35000 "," 3.08000 "
3.99.02.02," PN "," 2.85000 "," 1.48000 "," 3.39000 "
