Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1605834 "," 1029605 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -973810 "," -704289 "
3.02.01," Variação do Valor Justo dos Ativos Biológicos "," 43849 "," 18374 "
3.02.02," Custo dos Produtos Vendidos "," -1017659 "," -722663 "
3.03," Resultado Bruto "," 632024 "," 325316 "
3.04," Despesas/Receitas Operacionais "," -196200 "," -159801 "
3.04.01," Despesas com Vendas "," -108620 "," -90657 "
3.04.02," Despesas Gerais e Administrativas "," -81094 "," -70660 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 56 "," -1268 "
3.04.04," Outras Receitas Operacionais "," 0 "," 2784 "
3.04.05," Outras Despesas Operacionais "," -6542 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 435824 "," 165515 "
3.06," Resultado Financeiro "," -45611 "," -55601 "
3.06.01," Receitas Financeiras "," 53261 "," 28253 "
3.06.02," Despesas Financeiras "," -98872 "," -83854 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 390213 "," 109914 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -104900 "," -17153 "
3.08.01," Corrente "," -62477 "," -24295 "
3.08.02," Diferido "," -42423 "," 7142 "
3.09," Resultado Líquido das Operações Continuadas "," 285313 "," 92761 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 285313 "," 92761 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 285313 "," 92761 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 1.13420 "," 0.36470 "
3.99.01.02," PN "," "," "
3.99.02," Lucro Diluído por Ação "," "," "
