Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 350695561 "," 270204212 "," 204523575 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -284510576 "," -224985889 "," -172577224 "
3.03," Resultado Bruto "," 66184985 "," 45218323 "," 31946351 "
3.04," Despesas/Receitas Operacionais "," -33914882 "," -24715228 "," -18463472 "
3.04.01," Despesas com Vendas "," -19167311 "," -14481462 "," -11468935 "
3.04.02," Despesas Gerais e Administrativas "," -15205901 "," -10792292 "," -7313060 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 542979 "," 838627 "," 450002 "
3.04.05," Outras Despesas Operacionais "," -177160 "," -333580 "," -165645 "
3.04.06," Resultado de Equivalência Patrimonial "," 92511 "," 53479 "," 34166 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 32270103 "," 20503095 "," 13482879 "
3.06," Resultado Financeiro "," -5078651 "," -12238903 "," -5985079 "
3.06.01," Receitas Financeiras "," 2304091 "," 3557443 "," 2081827 "
3.06.02," Despesas Financeiras "," -7382742 "," -15796346 "," -8066906 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 27191452 "," 8264192 "," 7497800 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -6661799 "," -3609243 "," -1032946 "
3.08.01," Corrente "," -7573118 "," -2387038 "," -1110003 "
3.08.02," Diferido "," 911319 "," -1222205 "," 77057 "
3.09," Resultado Líquido das Operações Continuadas "," 20529653 "," 4654949 "," 6464854 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 20529653 "," 4654949 "," 6464854 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 20486561 "," 4598311 "," 6068368 "
3.11.02," Atribuído a Sócios Não Controladores "," 43092 "," 56638 "," 396486 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 8.26000 "," 1.73000 "," 2.28000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 8.26000 "," 1.73000 "," 2.28000 "
