Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2002742 "," 1564081 "," 1218630 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1605302 "," -1136035 "," -883695 "
3.03," Resultado Bruto "," 397440 "," 428046 "," 334935 "
3.04," Despesas/Receitas Operacionais "," -313759 "," -310600 "," -305685 "
3.04.01," Despesas com Vendas "," -174274 "," -174039 "," -168372 "
3.04.02," Despesas Gerais e Administrativas "," -139112 "," -136698 "," -120415 "
3.04.02.01," Remuneração dos Administradores "," "," "," "
3.04.02.02," Despesas Administrativas "," -134775 "," -132318 "," -119238 "
3.04.02.03," Programa de Participação dos Lucros e Resultado "," -4337 "," -4380 "," -1177 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 454 "," 137 "," 278 "
3.04.05," Outras Despesas Operacionais "," -827 "," 0 "," -17176 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 83681 "," 117446 "," 29250 "
3.06," Resultado Financeiro "," -27254 "," -28832 "," -27585 "
3.06.01," Receitas Financeiras "," 88269 "," 79174 "," 68397 "
3.06.02," Despesas Financeiras "," -115523 "," -108006 "," -95982 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 56427 "," 88614 "," 1665 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -19242 "," -50196 "," 16823 "
3.08.01," Corrente "," -27734 "," -32236 "," -7350 "
3.08.02," Diferido "," 8492 "," -17960 "," 24173 "
3.09," Resultado Líquido das Operações Continuadas "," 37185 "," 38418 "," 18488 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 37185 "," 38418 "," 18488 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 30744 "," 31829 "," 10686 "
3.11.02," Atribuído a Sócios Não Controladores "," 6441 "," 6589 "," 7802 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 2.90163 "," 3.00404 "," 1.00853 "
3.99.01.02," PN "," 3.19179 "," 3.30444 "," 1.10938 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 2.90163 "," 3.00404 "," 1.00853 "
3.99.02.02," PN "," 3.19179 "," 3.30444 "," 1.10938 "
