Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1066582 "," 718045 "," 506575 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -771722 "," -479047 "," -372927 "
3.03," Resultado Bruto "," 294860 "," 238998 "," 133648 "
3.04," Despesas/Receitas Operacionais "," -160361 "," -115703 "," -80652 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -27817 "," -15567 "," -13271 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -1396 "," -5698 "," -5238 "
3.04.05," Outras Despesas Operacionais "," -131148 "," -94438 "," -62143 "
3.04.05.01," Despesas com Pessoal "," -58808 "," -53023 "," -35052 "
3.04.05.02," Despesas Comerciais "," -72340 "," -41415 "," -27091 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 134499 "," 123295 "," 52996 "
3.06," Resultado Financeiro "," -40193 "," -32015 "," -32549 "
3.06.01," Receitas Financeiras "," 94846 "," 51301 "," 15326 "
3.06.02," Despesas Financeiras "," -135039 "," -83316 "," -47875 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 94306 "," 91280 "," 20447 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -21852 "," -20693 "," -470 "
3.08.01," Corrente "," -24061 "," -26314 "," -1857 "
3.08.02," Diferido "," 2209 "," 5621 "," 1387 "
3.09," Resultado Líquido das Operações Continuadas "," 72454 "," 70587 "," 19977 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 72454 "," 70587 "," 19977 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 72454 "," 70587 "," 19977 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.35550 "," 1.57590 "," 0.44600 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.35550 "," 1.57590 "," 0.44600 "
