Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 786738 "," 523459 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -497017 "," -349906 "," 0 "
3.03," Resultado Bruto "," 289721 "," 173553 "," 0 "
3.04," Despesas/Receitas Operacionais "," -46106 "," -31356 "," 0 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -49087 "," -28090 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 7508 "," 5599 "," 0 "
3.04.05," Outras Despesas Operacionais "," -4527 "," -8865 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 243615 "," 142197 "," 0 "
3.06," Resultado Financeiro "," -93375 "," -87141 "," 0 "
3.06.01," Receitas Financeiras "," 58220 "," 20167 "," 0 "
3.06.02," Despesas Financeiras "," -151595 "," -107308 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 150240 "," 55056 "," 0 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -51575 "," -19022 "," 0 "
3.08.01," Corrente "," -32683 "," -2842 "," 0 "
3.08.02," Diferido "," -18892 "," -16180 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 98665 "," 36034 "," 0 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 98665 "," 36034 "," 0 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," 36034 "," 0 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.00000 "," 256.63049 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.00000 "," 256.63049 "," 0.00000 "
