Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 149367 "," 141537 "," 128034 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2166 "," -1699 "," -2162 "
3.03," Resultado Bruto "," 147201 "," 139838 "," 125872 "
3.04," Despesas/Receitas Operacionais "," 266500 "," 110911 "," 54303 "
3.04.01," Despesas com Vendas "," -10833 "," -10296 "," -8990 "
3.04.02," Despesas Gerais e Administrativas "," -25039 "," -21796 "," -17006 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 418180 "," 201605 "," 203415 "
3.04.04.01," Variação do Valor Justo de Propriedades para Investimento "," 291271 "," 151274 "," 99624 "
3.04.04.02," Outras Receitas Operacionais "," 126909 "," 50331 "," 103791 "
3.04.05," Outras Despesas Operacionais "," -118643 "," -57730 "," -114101 "
3.04.05.01," Variação do Valor Justo de Propriedades para Investimento "," "," "," "
3.04.05.02," Outras Despesas Operacionais "," -118643 "," -57730 "," -114101 "
3.04.06," Resultado de Equivalência Patrimonial "," 2835 "," -872 "," -9015 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 413701 "," 250749 "," 180175 "
3.06," Resultado Financeiro "," 6608 "," -15056 "," -38146 "
3.06.01," Receitas Financeiras "," 54478 "," 15329 "," 17781 "
3.06.02," Despesas Financeiras "," -47870 "," -30385 "," -55927 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 420309 "," 235693 "," 142029 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -37073 "," -93121 "," -48694 "
3.08.01," Corrente "," -20183 "," -11493 "," -9810 "
3.08.02," Diferido "," -16890 "," -81628 "," -38884 "
3.09," Resultado Líquido das Operações Continuadas "," 383236 "," 142572 "," 93335 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 383236 "," 142572 "," 93335 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 368955 "," 139959 "," 90202 "
3.11.02," Atribuído a Sócios Não Controladores "," 14281 "," 2613 "," 3133 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 3.62339 "," 1.37647 "," 1.15151 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 3.61228 "," 1.37244 "," 1.15096 "
