Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.03," Resultado Bruto "," "," "," "
3.04," Despesas/Receitas Operacionais "," -940575 "," -967899 "," -813209 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -913166 "," -932487 "," -749928 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -27409 "," -35412 "," -63281 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -940575 "," -967899 "," -813209 "
3.06," Resultado Financeiro "," 1797577 "," 899079 "," 1198887 "
3.06.01," Receitas Financeiras "," 1800266 "," 901417 "," 1201289 "
3.06.02," Despesas Financeiras "," -2689 "," -2338 "," -2402 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 857002 "," -68820 "," 385678 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -243988 "," 0 "," -73326 "
3.08.01," Corrente "," -243988 "," 0 "," -73326 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 613014 "," -68820 "," 312352 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 613014 "," -68820 "," 312352 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 45.90480 "," -5.15350 "," 2.02360 "
3.99.02," Lucro Diluído por Ação "," "," "," "
