Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 721391 "," 603105 "," 407001 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -434316 "," -361537 "," -241021 "
3.03," Resultado Bruto "," 287075 "," 241568 "," 165980 "
3.04," Despesas/Receitas Operacionais "," -364678 "," -263236 "," -192210 "
3.04.01," Despesas com Vendas "," -271922 "," -209563 "," -150306 "
3.04.02," Despesas Gerais e Administrativas "," -94268 "," -49898 "," -49535 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -712 "," -3511 "," -1463 "
3.04.04," Outras Receitas Operacionais "," 2224 "," 0 "," 9094 "
3.04.05," Outras Despesas Operacionais "," 0 "," -264 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -77603 "," -21668 "," -26230 "
3.06," Resultado Financeiro "," -7206 "," -18588 "," -12003 "
3.06.01," Receitas Financeiras "," 24722 "," 6475 "," 11419 "
3.06.02," Despesas Financeiras "," -31928 "," -25063 "," -23422 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -84809 "," -40256 "," -38233 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -84809 "," -40256 "," -38233 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -84809 "," -40256 "," -38233 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," -40256 "," -38229 "
3.11.02," Atribuído a Sócios Não Controladores "," 0 "," 0 "," -4 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.67017 "," -0.11749 "," -0.01224 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.67017 "," -0.11749 "," -0.01224 "
