Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.03," Resultado Bruto "," "," "," "
3.04," Despesas/Receitas Operacionais "," -155 "," -145 "," 313 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -155 "," -153 "," -157 "
3.04.02.01," Despesas Gerais e Administrativas "," -155 "," -153 "," -157 "
3.04.02.02," Honorários da Administração "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 8 "," 470 "
3.04.04.01," Dividendos e Juros s/ Capital Próprio "," 0 "," 8 "," 470 "
3.04.04.02," Outras receitas "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -155 "," -145 "," 313 "
3.06," Resultado Financeiro "," 135 "," 50 "," 148 "
3.06.01," Receitas Financeiras "," 149 "," 61 "," 159 "
3.06.02," Despesas Financeiras "," -14 "," -11 "," -11 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -20 "," -95 "," 461 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 0 "," 0 "," -6 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 0 "," 0 "," -6 "
3.09," Resultado Líquido das Operações Continuadas "," -20 "," -95 "," 455 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -20 "," -95 "," 455 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.25641 "," -1.21795 "," 5.83333 "
3.99.01.02," PN "," -0.28205 "," -1.33974 "," 6.41667 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.25641 "," -1.21795 "," 5.83333 "
3.99.02.02," PN "," -0.28205 "," -1.33974 "," 6.41667 "
