Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2554 "," 183 "," 0 "
3.01.01," Receita operacional líquida "," 2554 "," 183 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1739 "," 0 "," 0 "
3.02.01," Custos operacionais "," -1739 "," 0 "," 0 "
3.03," Resultado Bruto "," 815 "," 183 "," 0 "
3.04," Despesas/Receitas Operacionais "," -41404 "," -5149 "," -2701 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -41404 "," -5149 "," -2701 "
3.04.02.01," Despesa com Pessoal "," -10017 "," 0 "," 0 "
3.04.02.02," Despesas Gerais e Administrativas "," -31387 "," -5149 "," -2701 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -40589 "," -4966 "," -2701 "
3.06," Resultado Financeiro "," 775 "," 1144 "," -8400 "
3.06.01," Receitas Financeiras "," 16054 "," 24067 "," 0 "
3.06.02," Despesas Financeiras "," -15279 "," -22923 "," -8400 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -39814 "," -3822 "," -11101 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -3395 "," -16 "," 0 "
3.08.01," Corrente "," -3395 "," -16 "," 0 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -43209 "," -3838 "," -11101 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -43209 "," -3838 "," -11101 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -43209 "," -3838 "," -11101 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.93930 "," -0.16283 "," -3.37724 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.93930 "," -0.16283 "," -3.37724 "
