Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 135787 "," 102483 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -92400 "," -81641 "," 0 "
3.03," Resultado Bruto "," 43387 "," 20842 "," 0 "
3.04," Despesas/Receitas Operacionais "," -30482 "," -21500 "," 0 "
3.04.01," Despesas com Vendas "," -18231 "," -9704 "," 0 "
3.04.02," Despesas Gerais e Administrativas "," -13671 "," -3075 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 60976 "," 69 "," 0 "
3.04.05," Outras Despesas Operacionais "," -62860 "," -8790 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," 3304 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 12905 "," -658 "," 0 "
3.06," Resultado Financeiro "," -2872 "," -568 "," 0 "
3.06.01," Receitas Financeiras "," 3109 "," 218 "," 0 "
3.06.02," Despesas Financeiras "," -5981 "," -786 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 10033 "," -1226 "," 0 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -3256 "," -2095 "," 0 "
3.08.01," Corrente "," -3814 "," -1960 "," 0 "
3.08.02," Diferido "," 558 "," -135 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 6777 "," -3321 "," 0 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 6777 "," -3321 "," 0 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1666 "," -3321 "," 0 "
3.11.02," Atribuído a Sócios Não Controladores "," 5111 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.03000 "," -0.07000 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.03000 "," -0.07000 "," 0.00000 "
