Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 582462 "," 519448 "," 554223 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -183261 "," -157185 "," -155385 "
3.03," Resultado Bruto "," 399201 "," 362263 "," 398838 "
3.04," Despesas/Receitas Operacionais "," -72116 "," -52024 "," -48415 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -79203 "," -52086 "," -49073 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -2070 "," 0 "," 0 "
3.04.03.01," Provisão para Perda de Crédito Esperada - Contas a Receber "," -2070 "," 0 "," 0 "
3.04.04," Outras Receitas Operacionais "," 9157 "," 62 "," 658 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 327085 "," 310239 "," 350423 "
3.06," Resultado Financeiro "," -31555 "," -19531 "," -66441 "
3.06.01," Receitas Financeiras "," 133592 "," 138028 "," 190369 "
3.06.02," Despesas Financeiras "," -165147 "," -157559 "," -256810 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 295530 "," 290708 "," 283982 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -109556 "," -100652 "," -96540 "
3.08.01," Corrente "," -124024 "," -99521 "," -101091 "
3.08.02," Diferido "," 14468 "," -1131 "," 4551 "
3.09," Resultado Líquido das Operações Continuadas "," 185974 "," 190056 "," 187442 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 185974 "," 190056 "," 187442 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 2.53360 "," 2.56188 "," 2.52549 "
3.99.02," Lucro Diluído por Ação "," "," "," "
