Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 37339 "," 122937 "," 125291 "
3.01.01," Receita Operacional "," 37339 "," 122937 "," 125291 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.03," Resultado Bruto "," 37339 "," 122937 "," 125291 "
3.04," Despesas/Receitas Operacionais "," -1109 "," -1733 "," -2073 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -1109 "," -1733 "," -2073 "
3.04.02.01," Depesas gerais e administrativas "," -1109 "," -1733 "," -2073 "
3.04.02.02," Despesas no fluxo da operação "," 0 "," 0 "," -756 "
3.04.02.03," Recuperação de despesas "," 0 "," 0 "," 770 "
3.04.02.04," Despesas com contigencias "," 0 "," 0 "," -14 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.03.01," Provisão para perdas na carteira "," 65947 "," -26052 "," -16545 "
3.04.03.02," Provisão de remuneração dos debenturistas "," -65947 "," 26052 "," 16545 "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 36230 "," 121204 "," 123218 "
3.06," Resultado Financeiro "," -37339 "," -122951 "," -125291 "
3.06.01," Receitas Financeiras "," 30 "," 11 "," 28 "
3.06.02," Despesas Financeiras "," -37369 "," -122962 "," -125319 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -1109 "," -1747 "," -2073 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -1109 "," -1747 "," -2073 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -1109 "," -1747 "," -2073 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.16500 "," -0.97100 "," -1.15200 "
3.99.01.02," PN "," -0.16500 "," -0.97100 "," 1.15200 "
3.99.02," Lucro Diluído por Ação "," "," "," "
