Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 20381883 "," 14029408 "," 13319835 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -15572114 "," -11462348 "," -9838962 "
3.03," Resultado Bruto "," 4809769 "," 2567060 "," 3480873 "
3.04," Despesas/Receitas Operacionais "," -1141402 "," -929834 "," -705021 "
3.04.01," Despesas com Vendas "," -37070 "," -24360 "," -24033 "
3.04.02," Despesas Gerais e Administrativas "," -919056 "," -720831 "," -474102 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -264614 "," -178552 "," -211313 "
3.04.06," Resultado de Equivalência Patrimonial "," 79338 "," -6091 "," 4427 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 3668367 "," 1637226 "," 2775852 "
3.06," Resultado Financeiro "," -1635751 "," -1153769 "," -1076896 "
3.06.01," Receitas Financeiras "," 5699438 "," 8168082 "," 1567286 "
3.06.02," Despesas Financeiras "," -7335189 "," -9321851 "," -2644182 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 2032616 "," 483457 "," 1698956 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -354881 "," -24034 "," -507439 "
3.08.01," Corrente "," -493117 "," -156985 "," -507439 "
3.08.02," Diferido "," 138236 "," 132951 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 1677735 "," 459423 "," 1191517 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 1677735 "," 459423 "," 1191517 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1575306 "," 428329 "," 1167071 "
3.11.02," Atribuído a Sócios Não Controladores "," 102429 "," 31094 "," 24446 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.79910 "," 0.22050 "," 0.66200 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.79680 "," 0.21980 "," 0.65940 "
