Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 4006933 "," 3378027 "," 3136521 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -837669 "," -722459 "," -956515 "
3.02.01," Pessoal "," -69456 "," -66301 "," -65524 "
3.02.02," Material "," -11084 "," -12487 "," -12118 "
3.02.03," Serviços de terceiros "," -52891 "," -52274 "," -49682 "
3.02.04," Taxa de fiscalização dos serviços de energia elétrica - TFSEE "," -1514 "," -5788 "," 0 "
3.02.05," Compensação financeira de recursos hídricos - CFURH "," -23746 "," -35638 "," -33452 "
3.02.06," Energia comprada para revenda "," -238274 "," -136743 "," -394030 "
3.02.07," Encargos de uso da rede elétrica "," -162410 "," -150518 "," -138066 "
3.02.08," Depreciação e amortização "," -265696 "," -250253 "," -249116 "
3.02.09," Provisões para risco "," -1288 "," -169 "," -6383 "
3.02.10," Aluguéis "," -695 "," -952 "," -614 "
3.02.11," Seguros "," -7594 "," -7757 "," -8067 "
3.02.12," Outros "," -3021 "," -3579 "," 537 "
3.03," Resultado Bruto "," 3169264 "," 2655568 "," 2180006 "
3.04," Despesas/Receitas Operacionais "," -80981 "," -81293 "," -79292 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -70255 "," -72910 "," -71658 "
3.04.02.01," Pessoal "," -19001 "," -16330 "," -18556 "
3.04.02.02," Material "," -212 "," -54 "," -396 "
3.04.02.03," Serviços de terceiros "," -7938 "," -8049 "," -7594 "
3.04.02.04," Depreciação e amortização "," -1998 "," -1990 "," -1881 "
3.04.02.05," Equivalência patrimonial "," 1929 "," -433 "," -628 "
3.04.02.06," Seguros "," -224 "," -251 "," -521 "
3.04.02.07," Aluguéis "," -42547 "," -45580 "," -41838 "
3.04.02.08," Provisões para risco "," -264 "," -223 "," -251 "
3.04.02.09," Provisões para riscos "," 0 "," 0 "," 7 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -10726 "," -8383 "," -7634 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 3088283 "," 2574275 "," 2100714 "
3.06," Resultado Financeiro "," -842785 "," -1059235 "," -594501 "
3.06.01," Receitas Financeiras "," 553418 "," 709188 "," 770803 "
3.06.02," Despesas Financeiras "," -1396203 "," -1768423 "," -1365304 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 2245498 "," 1515040 "," 1506213 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -669780 "," -379679 "," -302242 "
3.08.01," Corrente "," -400480 "," -335735 "," -257573 "
3.08.02," Diferido "," -269300 "," -43944 "," -44669 "
3.09," Resultado Líquido das Operações Continuadas "," 1575718 "," 1135361 "," 1203971 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 1575718 "," 1135361 "," 1203971 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.24572 "," 0.16186 "," 0.17164 "
3.99.02.02," PN "," "," "," "
