Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 27714 "," 27691 "," 23550 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -8582 "," -7565 "," -7590 "
3.02.01," Custo dos Bens e/ou Serviços Vendidos "," -2426 "," -1778 "," -2103 "
3.02.02," Custo de Construção "," -14 "," -52 "," -42 "
3.02.03," Mão de Obra na Operação "," -882 "," -799 "," -771 "
3.02.04," Custo com Serviços de Terceiros na Operação "," -1878 "," -1570 "," -1299 "
3.02.05," Amortização do Intangivel e Depreciação do Imobilizado "," -3382 "," -3366 "," -3375 "
3.03," Resultado Bruto "," 19132 "," 20126 "," 15960 "
3.04," Despesas/Receitas Operacionais "," -7829 "," -7619 "," -6982 "
3.04.01," Despesas com Vendas "," -651 "," -1125 "," -856 "
3.04.01.01," Despesas com pessoal "," -315 "," -318 "," -283 "
3.04.01.02," Outras despesas comerciais "," -336 "," -807 "," -573 "
3.04.02," Despesas Gerais e Administrativas "," -7277 "," -6215 "," -5939 "
3.04.02.01," Despesas c/ Pessoal "," -979 "," -914 "," -908 "
3.04.02.02," Honorários "," -1250 "," -1196 "," -987 "
3.04.02.03," Outras Despesas "," -1066 "," -726 "," -862 "
3.04.02.04," Serviços Administrativos Compartilhados "," -3703 "," -3093 "," -2935 "
3.04.02.05," Serviços com debêntures "," -279 "," -286 "," -247 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 99 "," 0 "," 0 "
3.04.05," Outras Despesas Operacionais "," 0 "," -279 "," -187 "
3.04.05.20," Outras "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 11303 "," 12507 "," 8978 "
3.06," Resultado Financeiro "," -4135 "," -3821 "," -7705 "
3.06.01," Receitas Financeiras "," 131 "," 75 "," 4 "
3.06.01.01," Receitas Financeiras "," 131 "," 75 "," 4 "
3.06.02," Despesas Financeiras "," -4266 "," -3896 "," -7709 "
3.06.02.01," Despesas Financeiras "," "," "," "
3.06.02.02," Juros e Demais Encargos sobre Debentures "," -3809 "," -3504 "," -7116 "
3.06.02.03," Outras Despesas Financeiras "," -457 "," -392 "," -593 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 7168 "," 8686 "," 1273 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -3012 "," -2810 "," -387 "
3.08.01," Corrente "," -3012 "," -2810 "," -467 "
3.08.02," Diferido "," 0 "," 0 "," 80 "
3.09," Resultado Líquido das Operações Continuadas "," 4156 "," 5876 "," 886 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 4156 "," 5876 "," 886 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 82.55700 "," 0.52150 "," 0.44300 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 82.55700 "," 0.52150 "," 0.44300 "
