Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 88883 "," 246325 "
3.01.01," Receita Bruta de Vendas de Bens e/ou Serviços "," 91166 "," 251764 "
3.01.02," Deduções da Receita Bruta "," -2283 "," -5439 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -53537 "," -170234 "
3.03," Resultado Bruto "," 35346 "," 76091 "
3.04," Despesas/Receitas Operacionais "," -26672 "," -458512 "
3.04.01," Despesas com Vendas "," -49418 "," -113147 "
3.04.02," Despesas Gerais e Administrativas "," -32511 "," -63453 "
3.04.02.01," Honorários da Administração "," -1854 "," -1548 "
3.04.02.02," Plano de Opções de Compra de Ações "," "," "
3.04.02.03," Participação Estatutária dos Administradores "," "," "
3.04.02.04," Outras "," -30657 "," -61905 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 163973 "," 38530 "
3.04.05," Outras Despesas Operacionais "," -108716 "," -320442 "
3.04.05.01," Depreciações e Amortizações "," -19195 "," -43197 "
3.04.05.02," Participação dos Administradores "," "," "
3.04.05.03," Outras "," -89521 "," -277245 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 8674 "," -382421 "
3.06," Resultado Financeiro "," 17829 "," -29694 "
3.06.01," Receitas Financeiras "," 55033 "," 4504 "
3.06.02," Despesas Financeiras "," -37204 "," -34198 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 26503 "," -412115 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "
3.08.01," Corrente "," "," "
3.08.02," Diferido "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 26503 "," -412115 "
3.10," Resultado Líquido de Operações Descontinuadas "," 19696 "," -7513 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 19696 "," -7513 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 46199 "," -419628 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 46197 "," -419595 "
3.11.02," Atribuído a Sócios Não Controladores "," 2 "," -33 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 25.52012 "," -8.05888 "
3.99.01.02," PN "," 25.50534 "," -9.62886 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 25.52012 "," -8.05888 "
3.99.02.02," PN "," 25.50534 "," -9.62886 "
