Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 211276 "," 183466 "," 150124 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -144592 "," -120602 "," -95891 "
3.03," Resultado Bruto "," 66684 "," 62864 "," 54233 "
3.04," Despesas/Receitas Operacionais "," -47461 "," -34377 "," -26449 "
3.04.01," Despesas com Vendas "," -18570 "," -12535 "," -7582 "
3.04.02," Despesas Gerais e Administrativas "," -24051 "," -19193 "," -11110 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -3635 "," -2582 "," -4374 "
3.04.06," Resultado de Equivalência Patrimonial "," -1205 "," -67 "," -3383 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 19223 "," 28487 "," 27784 "
3.06," Resultado Financeiro "," -9078 "," -6471 "," -7336 "
3.06.01," Receitas Financeiras "," 179 "," 326 "," 383 "
3.06.02," Despesas Financeiras "," -9257 "," -6797 "," -7719 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 10145 "," 22016 "," 20448 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -3808 "," -3339 "," -2698 "
3.08.01," Corrente "," -3573 "," -2859 "," -2720 "
3.08.02," Diferido "," -235 "," -480 "," 22 "
3.09," Resultado Líquido das Operações Continuadas "," 6337 "," 18677 "," 17750 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 6337 "," 18677 "," 17750 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 4698 "," 16665 "," 15425 "
3.11.02," Atribuído a Sócios Não Controladores "," 1639 "," 2012 "," 2325 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
