Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1048294 "," 969107 "," 990506 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -914388 "," -881232 "," -875262 "
3.02.01," Operação, manutenção e conservação de rodovias "," -219848 "," -209103 "," -197876 "
3.02.02," Custo de manutenção - IAS 37 "," -12182 "," -14607 "," -45023 "
3.02.03," Custo de construção "," -158908 "," -111753 "," -96254 "
3.02.04," Operação portuária "," "," "," "
3.02.05," Operação de cabotagem "," "," "," "
3.02.06," Operação de aeroportos "," "," "," "
3.02.07," Custo com pessoal "," -97756 "," -100307 "," -104101 "
3.02.08," Depreciação do Imobilizado (custo) "," -4875 "," -6778 "," -1085 "
3.02.09," Depreciação do Imobilizado (mais valia) "," "," "," "
3.02.10," Amortização do Intangível (custo) "," -378998 "," -373289 "," -347721 "
3.02.11," Amortização do Intangível (mais valia) "," -5454 "," -24946 "," -40877 "
3.02.12," Remuneração do poder concedente "," -36367 "," -40449 "," -42325 "
3.02.13," Operação de energia "," "," "," "
3.03," Resultado Bruto "," 133906 "," 87875 "," 115244 "
3.04," Despesas/Receitas Operacionais "," -88248 "," 143419 "," -129409 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -152637 "," -130992 "," -162456 "
3.04.02.01," Despesas Gerais e Administrativas "," -86455 "," -61023 "," -85523 "
3.04.02.02," Remuneração dos administradores "," -17606 "," -16783 "," -19214 "
3.04.02.03," Despesas com pessoal "," -37092 "," -34474 "," -41135 "
3.04.02.04," Depreciação do Imobilizado "," -4643 "," -7413 "," -6560 "
3.04.02.05," Amortização do Intangível "," -5859 "," -10347 "," -9136 "
3.04.02.06," Amortização de ágio sobre investimento "," -886 "," -856 "," -792 "
3.04.02.07," Depreciação do imobilizado (mais valia) "," -96 "," -96 "," -96 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 29094 "," 241568 "," 3251 "
3.04.04.01," Outras Receitas Operacionais "," 29094 "," 241568 "," 3251 "
3.04.04.02," Ganho na diluição/aumento de participação "," "," "," "
3.04.05," Outras Despesas Operacionais "," 0 "," 0 "," -243 "
3.04.05.01," Provisão para perda (ganho) do valor recuperável de ativos "," "," "," "
3.04.05.02," Outras despesas operacionais "," 0 "," 0 "," -1749 "
3.04.05.03," Outras despesas não recorrentes "," 0 "," 0 "," 1506 "
3.04.06," Resultado de Equivalência Patrimonial "," 35295 "," 32843 "," 30039 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 45658 "," 231294 "," -14165 "
3.06," Resultado Financeiro "," -77298 "," -14501 "," -312518 "
3.06.01," Receitas Financeiras "," 150468 "," 157764 "," 14712 "
3.06.01.01," Receitas Financeiras "," 150468 "," 157764 "," 14712 "
3.06.02," Despesas Financeiras "," -227766 "," -172265 "," -327230 "
3.06.02.01," Despesas Financeiras "," -227766 "," -172265 "," -327230 "
3.06.02.02," Variação cambial passiva "," "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -31640 "," 216793 "," -326683 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 36624 "," -48219 "," 110248 "
3.08.01," Corrente "," -11285 "," -12473 "," -3914 "
3.08.02," Diferido "," 47909 "," -35746 "," 114162 "
3.09," Resultado Líquido das Operações Continuadas "," 4984 "," 168574 "," -216435 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 4984 "," 168574 "," -216435 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 10552 "," 189352 "," -192625 "
3.11.02," Atribuído a Sócios Não Controladores "," -5568 "," -20778 "," -23810 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.06082 "," 1.09132 "," -1.09446 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.06082 "," 1.09132 "," -1.09446 "
