Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 205263 "," 132562 "," 140075 "
3.01.01," Receita com Prestação de Serviços "," "," "," "
3.01.02," Receita de Construção "," "," "," "
3.01.03," Impostos Incidentes "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -135646 "," -102018 "," -110367 "
3.02.01," Custos dos Serviços Prestados "," -91858 "," -84799 "," -86079 "
3.02.02," Custos de Construção "," -43788 "," -17219 "," -24288 "
3.03," Resultado Bruto "," 69617 "," 30544 "," 29708 "
3.04," Despesas/Receitas Operacionais "," -26187 "," -19406 "," -19885 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -26060 "," -19514 "," -19885 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -127 "," 108 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 43430 "," 11138 "," 9823 "
3.06," Resultado Financeiro "," -12706 "," -12375 "," -17714 "
3.06.01," Receitas Financeiras "," 355 "," 271 "," 539 "
3.06.02," Despesas Financeiras "," -13061 "," -12646 "," -18253 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 30724 "," -1237 "," -7891 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -10586 "," 230 "," 2535 "
3.08.01," Corrente "," -6158 "," -1375 "," -406 "
3.08.02," Diferido "," -4428 "," 1605 "," 2941 "
3.09," Resultado Líquido das Operações Continuadas "," 20138 "," -1007 "," -5356 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 20138 "," -1007 "," -5356 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.04704 "," -0.00235 "," -0.01251 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
