Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 152133 "," 88994 "," 58379 "
3.01.01," Receita Operacional Líquida "," 152133 "," 88994 "," 58379 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -86169 "," -54463 "," -37027 "
3.02.01," Custo dos Lotes Vendidos "," -86169 "," -54463 "," -37027 "
3.03," Resultado Bruto "," 65964 "," 34531 "," 21352 "
3.04," Despesas/Receitas Operacionais "," -36810 "," -22592 "," -21390 "
3.04.01," Despesas com Vendas "," -18567 "," -9302 "," -8608 "
3.04.02," Despesas Gerais e Administrativas "," -24168 "," -14496 "," -10459 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 33 "," 54 "," 7 "
3.04.05," Outras Despesas Operacionais "," -4480 "," -970 "," -5009 "
3.04.06," Resultado de Equivalência Patrimonial "," 10372 "," 2122 "," 2679 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 29154 "," 11939 "," -38 "
3.06," Resultado Financeiro "," 3001 "," 2582 "," 615 "
3.06.01," Receitas Financeiras "," 7810 "," 6798 "," 6303 "
3.06.01.01," Receitas Financeiras "," 2491 "," 1632 "," 3903 "
3.06.01.02," Receita Financeira Provenientes dos Clientes por Incorporação de Imóveis "," 5319 "," 5166 "," 2400 "
3.06.02," Despesas Financeiras "," -4809 "," -4216 "," -5688 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 32155 "," 14521 "," 577 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -5823 "," -3006 "," -3255 "
3.08.01," Corrente "," -3208 "," -1944 "," -2215 "
3.08.02," Diferido "," -2615 "," -1062 "," -1040 "
3.09," Resultado Líquido das Operações Continuadas "," 26332 "," 11515 "," -2678 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 26332 "," 11515 "," -2678 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 26332 "," 11515 "," -2921 "
3.11.02," Atribuído a Sócios Não Controladores "," 0 "," 0 "," 243 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.19780 "," 0.14727 "," -0.03757 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.19710 "," 0.14452 "," -0.03757 "
