Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 293524000 "," 206098000 "," 144635000 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -117267000 "," -90948000 "," -76437000 "
3.03," Resultado Bruto "," 176257000 "," 115150000 "," 68198000 "
3.04," Despesas/Receitas Operacionais "," -34922000 "," -52593000 "," -55398000 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -2601000 "," -2529000 "," -1872000 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -2352000 "," -6968000 "," -13813000 "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -23022000 "," -37886000 "," -37128000 "
3.04.05.01," Evento Brumadinho "," -14379000 "," -27016000 "," -28818000 "
3.04.05.02," Outras despesas operacionais "," -8643000 "," -10870000 "," -8310000 "
3.04.06," Resultado de Equivalência Patrimonial "," -6947000 "," -5210000 "," -2585000 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 141335000 "," 62557000 "," 12800000 "
3.06," Resultado Financeiro "," 17812000 "," -24152000 "," -13375000 "
3.06.01," Receitas Financeiras "," 1822000 "," 1570000 "," 1802000 "
3.06.02," Despesas Financeiras "," 15990000 "," -25722000 "," -15177000 "
3.06.02.01," Despesas financeiras "," "," "," "
3.06.02.02," Resultado de alienação/baixa de participação JV/coligadas "," "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 159147000 "," 38405000 "," -575000 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -25320000 "," -4627000 "," 2509000 "
3.08.01," Corrente "," -30079000 "," -17828000 "," -5985000 "
3.08.02," Diferido "," 4759000 "," 13201000 "," 8494000 "
3.09," Resultado Líquido das Operações Continuadas "," 133827000 "," 33778000 "," 1934000 "
3.10," Resultado Líquido de Operações Descontinuadas "," -12484000 "," -8875000 "," -10631000 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," -12484000 "," -8875000 "," -10631000 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 121343000 "," 24903000 "," -8697000 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 121228000 "," 26713000 "," -6672000 "
3.11.02," Atribuído a Sócios Não Controladores "," 115000 "," -1810000 "," -2025000 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," PNA "," "," "," "
3.99.01.02," ON "," 24.18000 "," 5.21000 "," -1.30000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," PNA "," "," "," "
3.99.02.02," ON "," 24.18000 "," 5.21000 "," -1.30000 "
