Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 30899000 "," 28901000 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -21572000 "," -19435000 "
3.03," Resultado Bruto "," 9327000 "," 9466000 "
3.04," Despesas/Receitas Operacionais "," -9670000 "," -7847000 "
3.04.01," Despesas com Vendas "," -7121000 "," -5892000 "
3.04.02," Despesas Gerais e Administrativas "," -1077000 "," -891000 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -1517000 "," -1117000 "
3.04.05.01," Depreciações e Amortizações "," -799000 "," -731000 "
3.04.05.02," Depreciações e Amortizações de Direito de Uso "," "," "
3.04.05.05," Outras Receitas (Despesas) Operacionais Líquidas "," -718000 "," -386000 "
3.04.06," Resultado de Equivalência Patrimonial "," 45000 "," 53000 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -343000 "," 1619000 "
3.06," Resultado Financeiro "," -1217000 "," -696000 "
3.06.01," Receitas Financeiras "," "," "
3.06.02," Despesas Financeiras "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -1560000 "," 923000 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 1263000 "," 81000 "
3.08.01," Corrente "," "," "
3.08.02," Diferido "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -297000 "," 1004000 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -297000 "," 1004000 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -297000 "," 1004000 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.02," Lucro Diluído por Ação "," "," "
