Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 471798 "," 379232 "," 400518 "
3.01.01," Receita Bruta "," "," "," "
3.01.02," Deduções "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -425085 "," -315918 "," -340055 "
3.03," Resultado Bruto "," 46713 "," 63314 "," 60463 "
3.04," Despesas/Receitas Operacionais "," -52809 "," -44195 "," -49429 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -54271 "," -41504 "," -48906 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 2682 "," -1791 "," 377 "
3.04.05," Outras Despesas Operacionais "," -1220 "," -900 "," -900 "
3.04.05.01," Honorários dos administradores "," -1220 "," -900 "," -900 "
3.04.05.02," Outras despesas operacionais, líquidas "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -6096 "," 19119 "," 11034 "
3.06," Resultado Financeiro "," -65857 "," -79226 "," -85316 "
3.06.01," Receitas Financeiras "," 4305 "," 2017 "," 4090 "
3.06.02," Despesas Financeiras "," -70162 "," -81243 "," -89406 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -71953 "," -60107 "," -74282 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 21056 "," 22999 "," 25420 "
3.08.01," Corrente "," 0 "," -2119 "," -2271 "
3.08.02," Diferido "," 21056 "," 25118 "," 27691 "
3.09," Resultado Líquido das Operações Continuadas "," -50897 "," -37108 "," -48862 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -50897 "," -37108 "," -48862 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.08000 "," -0.05840 "," -0.07700 "
3.99.02," Lucro Diluído por Ação "," "," "," "
