Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 778915 "," 530646 "," 431954 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -494712 "," -336752 "," -276978 "
3.03," Resultado Bruto "," 284203 "," 193894 "," 154976 "
3.04," Despesas/Receitas Operacionais "," -141363 "," -93312 "," -88499 "
3.04.01," Despesas com Vendas "," -58740 "," -37019 "," -34606 "
3.04.02," Despesas Gerais e Administrativas "," -74530 "," -54566 "," -48326 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -1566 "," -2955 "," -5520 "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -6527 "," 1228 "," -47 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 142840 "," 100582 "," 66477 "
3.06," Resultado Financeiro "," -10486 "," -7552 "," -5809 "
3.06.01," Receitas Financeiras "," 35278 "," 39859 "," 13746 "
3.06.02," Despesas Financeiras "," -45764 "," -47411 "," -19555 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 132354 "," 93030 "," 60668 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -24614 "," -7097 "," -2554 "
3.08.01," Corrente "," -28900 "," -6045 "," -2659 "
3.08.02," Diferido "," 4286 "," -1052 "," 105 "
3.09," Resultado Líquido das Operações Continuadas "," 107740 "," 85933 "," 58114 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 107740 "," 85933 "," 58114 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 107111 "," 81759 "," 54775 "
3.11.02," Atribuído a Sócios Não Controladores "," 629 "," 4174 "," 3339 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.82000 "," 0.69000 "," 0.47000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
