Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1867176 "," 1179227 "," 1359985 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1207761 "," -831045 "," -888184 "
3.03," Resultado Bruto "," 659415 "," 348182 "," 471801 "
3.04," Despesas/Receitas Operacionais "," -333748 "," -311886 "," -330037 "
3.04.01," Despesas com Vendas "," -301398 "," -190482 "," -215831 "
3.04.02," Despesas Gerais e Administrativas "," -118135 "," -110561 "," -109630 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 11929 "," -9593 "," -9013 "
3.04.04," Outras Receitas Operacionais "," 70784 "," 797 "," 4145 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 3072 "," -2047 "," 292 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 325667 "," 36296 "," 141764 "
3.06," Resultado Financeiro "," 12458 "," -61 "," 5132 "
3.06.01," Receitas Financeiras "," 88023 "," 46345 "," 33552 "
3.06.02," Despesas Financeiras "," -75565 "," -46406 "," -28420 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 338125 "," 36235 "," 146896 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -24286 "," -4681 "," -3816 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 313839 "," 31554 "," 143080 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 313839 "," 31554 "," 143080 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 313831 "," 31590 "," 143065 "
3.11.02," Atribuído a Sócios Não Controladores "," 8 "," -36 "," 15 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.27700 "," 0.12854 "," 0.58214 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.26059 "," 0.12737 "," 0.57875 "
