Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 59561 "," 28515 "," 18660 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -51539 "," -22878 "," -14281 "
3.03," Resultado Bruto "," 8022 "," 5637 "," 4379 "
3.04," Despesas/Receitas Operacionais "," -7190 "," -4975 "," -4139 "
3.04.01," Despesas com Vendas "," -2520 "," -1212 "," -578 "
3.04.02," Despesas Gerais e Administrativas "," -4670 "," -3725 "," -3331 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 0 "," 240 "
3.04.05," Outras Despesas Operacionais "," 0 "," -38 "," -470 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 832 "," 662 "," 240 "
3.06," Resultado Financeiro "," -2467 "," -2031 "," -3703 "
3.06.01," Receitas Financeiras "," 1 "," 32 "," 31 "
3.06.02," Despesas Financeiras "," -2468 "," -2063 "," -3734 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -1635 "," -1369 "," -3463 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -1635 "," -1369 "," -3463 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -1635 "," -1369 "," -3463 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -1635 "," -1366 "," -3458 "
3.11.02," Atribuído a Sócios Não Controladores "," -3 "," -3 "," -5 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.02156 "," -0.01850 "," -0.04567 "
3.99.01.02," PN "," -0.02156 "," -0.01850 "," -0.04567 "
3.99.02," Lucro Diluído por Ação "," "," "," "
