Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 16481388 "," 11948794 "," 10271839 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -8938543 "," -7226910 "," -6851181 "
3.02.01," Variação do Valor Justo dos Ativos Biológicos "," 1308791 "," 658389 "," 390053 "
3.02.02," Custo dos Produtos Vendidos "," -10247334 "," -7885299 "," -7241234 "
3.03," Resultado Bruto "," 7542845 "," 4721884 "," 3420658 "
3.04," Despesas/Receitas Operacionais "," -2035971 "," -1507118 "," -894284 "
3.04.01," Despesas com Vendas "," -1249359 "," -1139138 "," -910388 "
3.04.02," Despesas Gerais e Administrativas "," -886244 "," -717799 "," -600959 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 74020 "," 316696 "," 609826 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 25612 "," 33123 "," 7237 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 5506874 "," 3214766 "," 2526374 "
3.06," Resultado Financeiro "," -1090463 "," -7029131 "," -1661848 "
3.06.01," Receitas Financeiras "," 521175 "," 964634 "," 1341465 "
3.06.02," Despesas Financeiras "," -1611638 "," -7993765 "," -3003313 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 4416411 "," -3814365 "," 864526 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1011537 "," 1424875 "," -149908 "
3.08.01," Corrente "," -496369 "," -446626 "," 58123 "
3.08.02," Diferido "," -515168 "," 1871501 "," -208031 "
3.09," Resultado Líquido das Operações Continuadas "," 3404874 "," -2389490 "," 714618 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 3404874 "," -2389490 "," 714618 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 3019870 "," -2487870 "," 675825 "
3.11.02," Atribuído a Sócios Não Controladores "," 385004 "," 98380 "," 38793 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.54990 "," -0.45370 "," 0.12830 "
3.99.01.02," PN "," 0.54990 "," -0.45370 "," 0.12830 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.54990 "," -0.45370 "," 0.12830 "
3.99.02.02," PN "," 0.54990 "," -0.45370 "," 0.12830 "
