Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receitas da Intermediação Financeira "," 2510145 "," 2225225 "," 2229628 "
3.02," Despesas da Intermediação Financeira "," -945981 "," -868177 "," -1082460 "
3.02.01," Despesa de Juros "," -579976 "," -567523 "," -637818 "
3.02.02," Perdas com Ativos Financeiros "," -366005 "," -300654 "," -444642 "
3.03," Resultado Bruto Intermediação Financeira "," 1564164 "," 1357048 "," 1147168 "
3.04," Outras Despesas/Receitas Operacionais "," -1403759 "," -1096433 "," -1081957 "
3.04.01," Receitas de Prestação de Serviços "," 352594 "," 318399 "," 272176 "
3.04.02," Despesas de Pessoal "," -534727 "," -484292 "," -497166 "
3.04.03," Outras Despesas Administrativas "," -742506 "," -604365 "," -567069 "
3.04.04," Despesas Tributárias "," -148498 "," -117806 "," -118187 "
3.04.05," Outras Receitas Operacionais "," 293544 "," 220080 "," 224321 "
3.04.06," Outras Despesas Operacionais "," -624166 "," -428449 "," -396032 "
3.04.07," Resultado da Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes dos Tributos sobre o Lucro "," 160405 "," 260615 "," 65211 "
3.06," Imposto de Renda e Contribuição Social sobre o Lucro "," 41169 "," -76190 "," 47839 "
3.06.01," Corrente "," -32432 "," -25121 "," -18648 "
3.06.02," Diferido "," 73601 "," -51069 "," 66487 "
3.07," Resultado Líquido das Operações Continuadas "," 201574 "," 184425 "," 113050 "
3.08," Resultado Líquido das Operações Descontinuadas "," "," "," "
3.08.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.08.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.09," Lucro/Prejuízo do Período "," 201574 "," 184425 "," 113050 "
3.09.01," Atribuído a Sócios da Empresa Controladora "," 198598 "," 182503 "," 110741 "
3.09.02," Atribuído a Sócios Não Controladores "," 2976 "," 1922 "," 2309 "
3.99," Lucro por Ação - (R$ / Ação) "," 7.61400 "," 13.92800 "," 8.45000 "
3.99.01," Lucro Básico por Ação "," 3.80700 "," 6.96400 "," 4.22500 "
3.99.01.01," ON "," 1.90370 "," 3.48180 "," 2.11270 "
3.99.01.02," PN "," 1.90370 "," 3.48180 "," 2.11270 "
3.99.02," Lucro Diluído por Ação "," 3.80700 "," 6.96400 "," 4.22500 "
3.99.02.01," ON "," 1.90370 "," 3.48180 "," 2.11270 "
3.99.02.02," PN "," 1.90370 "," 3.48180 "," 2.11270 "
