Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 288 "," 245 "," 267 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -6 "," -20 "," -7 "
3.03," Resultado Bruto "," 282 "," 225 "," 260 "
3.04," Despesas/Receitas Operacionais "," -371 "," -1606 "," -459 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -154 "," -1126 "," -700 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -183 "," -480 "," 241 "
3.04.04.01," Ganho com Valor Justo de Propriedade para Investimentos "," -183 "," -480 "," 241 "
3.04.05," Outras Despesas Operacionais "," -34 "," 0 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -89 "," -1381 "," -199 "
3.06," Resultado Financeiro "," -1103 "," -1140 "," -409 "
3.06.01," Receitas Financeiras "," 2 "," 1 "," 2 "
3.06.02," Despesas Financeiras "," -1105 "," -1141 "," -411 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -1192 "," -2521 "," -608 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 62 "," 163 "," -82 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 62 "," 163 "," -82 "
3.09," Resultado Líquido das Operações Continuadas "," -1130 "," -2358 "," -690 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -1130 "," -2358 "," -690 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.00039 "," -0.00081 "," -0.00024 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -0.00039 "," -0.00081 "," -0.00024 "
