Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 818308 "," 884045 "," 400465 "
3.01.01," Receita de Incorporação de Imóveis "," 854059 "," 935013 "," 437289 "
3.01.03," Impostos Sobre Vendas De Imóveis E Serviços "," -35751 "," -50968 "," -36824 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -609678 "," -702824 "," -282684 "
3.02.01," Custo De Incorporação E Venda De Imóveis "," -609678 "," -702824 "," -282684 "
3.03," Resultado Bruto "," 208630 "," 181221 "," 117781 "
3.04," Despesas/Receitas Operacionais "," 1990 "," -175278 "," -102532 "
3.04.01," Despesas com Vendas "," -44195 "," -28992 "," -14889 "
3.04.02," Despesas Gerais e Administrativas "," -123432 "," -81553 "," -54133 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 133428 "," -64733 "," -33510 "
3.04.05.01," Depreciação e Amortização "," -20886 "," -8278 "," -14181 "
3.04.05.02," Demais Despesas Operacionais "," 154314 "," -56455 "," 141771 "
3.04.05.03," Baixa de ágio na remensuração de investimento "," 0 "," 0 "," -161100 "
3.04.06," Resultado de Equivalência Patrimonial "," 36189 "," 0 "," 0 "
3.04.06.01," Resultado de Equivalência Patrimonial "," 36189 "," 0 "," 0 "
3.04.06.02," Ganho por compra vantajosa "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 210620 "," 5943 "," 15249 "
3.06," Resultado Financeiro "," -44580 "," -72995 "," -59624 "
3.06.01," Receitas Financeiras "," 65867 "," 28537 "," 17206 "
3.06.02," Despesas Financeiras "," -110447 "," -101532 "," -76830 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 166040 "," -67052 "," -44375 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -84990 "," -7608 "," 35275 "
3.08.01," Corrente "," -13678 "," -7608 "," -1984 "
3.08.02," Diferido "," -71312 "," 0 "," 37259 "
3.09," Resultado Líquido das Operações Continuadas "," 81050 "," -74660 "," -9100 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 81050 "," -74660 "," -9100 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 81254 "," -76521 "," -13742 "
3.11.02," Atribuído a Sócios Não Controladores "," -205 "," -479 "," -361 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.27500 "," -0.52800 "," -0.20000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.27500 "," -0.52800 "," -0.20000 "
