Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 44032613 "," 43126472 "," 44268171 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -24781369 "," -22693083 "," -22158947 "
3.03," Resultado Bruto "," 19251244 "," 20433389 "," 22109224 "
3.04," Despesas/Receitas Operacionais "," -12165135 "," -13851726 "," -14894548 "
3.04.01," Despesas com Vendas "," -11594117 "," -11871555 "," -12701222 "
3.04.02," Despesas Gerais e Administrativas "," -2615905 "," -2524993 "," -2498096 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 2993647 "," 1419113 "," 929498 "
3.04.05," Outras Despesas Operacionais "," -1066022 "," -875025 "," -625480 "
3.04.06," Resultado de Equivalência Patrimonial "," 117262 "," 734 "," 752 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 7086109 "," 6581663 "," 7214676 "
3.06," Resultado Financeiro "," -1126580 "," -573429 "," -820141 "
3.06.01," Receitas Financeiras "," 1310533 "," 1351530 "," 1132870 "
3.06.02," Despesas Financeiras "," -2437113 "," -1924959 "," -1953011 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 5959529 "," 6008234 "," 6394535 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 269828 "," -1237707 "," -1393521 "
3.08.01," Corrente "," -84661 "," -61427 "," -101246 "
3.08.02," Diferido "," 354489 "," -1176280 "," -1292275 "
3.09," Resultado Líquido das Operações Continuadas "," 6229357 "," 4770527 "," 5001014 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 6229357 "," 4770527 "," 5001014 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 6239364 "," 4770527 "," 0 "
3.11.02," Atribuído a Sócios Não Controladores "," -10007 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
