Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 4778057 "," 5269144 "," 7027194 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1903710 "," -1946923 "," -2809622 "
3.03," Resultado Bruto "," 2874347 "," 3322221 "," 4217572 "
3.04," Despesas/Receitas Operacionais "," -2795943 "," -6559130 "," -3200633 "
3.04.01," Despesas com Vendas "," -570753 "," -655904 "," -1536991 "
3.04.02," Despesas Gerais e Administrativas "," -1662087 "," -1644018 "," -1702760 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 0 "," -2050424 "," 0 "
3.04.04," Outras Receitas Operacionais "," 6028 "," 32409 "," 0 "
3.04.05," Outras Despesas Operacionais "," -570688 "," -2246858 "," 39275 "
3.04.05.01," Outras Despesas Operacionais "," -33092 "," -609347 "," 39275 "
3.04.05.02," Provisão para perda esperada "," -537596 "," -1637511 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," 1557 "," 5665 "," -157 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 78404 "," -3236909 "," 1016939 "
3.06," Resultado Financeiro "," -583772 "," -598694 "," -833153 "
3.06.01," Receitas Financeiras "," 309826 "," 279818 "," 346517 "
3.06.02," Despesas Financeiras "," -893598 "," -878512 "," -1179670 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -505368 "," -3835603 "," 183786 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 43845 "," 209218 "," 58802 "
3.08.01," Corrente "," -2392 "," -36728 "," -90504 "
3.08.02," Diferido "," 46237 "," 245946 "," 149306 "
3.09," Resultado Líquido das Operações Continuadas "," -461523 "," -3626385 "," 242588 "
3.10," Resultado Líquido de Operações Descontinuadas "," -51462 "," -2179415 "," 0 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," -51462 "," -2179415 "," 0 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -512985 "," -5805800 "," 242588 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -489125 "," -5805835 "," 235244 "
3.11.02," Atribuído a Sócios Não Controladores "," -23860 "," 35 "," 7344 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
