Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1048276 "," 944773 "," 862771 "
3.01.01," Receita operacional Liquida "," 1048276 "," 944773 "," 862771 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -958903 "," -927702 "," -1010028 "
3.02.01," Custos dos Serviços Prestados "," -958903 "," -927702 "," -1010028 "
3.03," Resultado Bruto "," 89373 "," 17071 "," -147257 "
3.04," Despesas/Receitas Operacionais "," -201938 "," -164874 "," -109823 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.01.01," Comerciais "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -111627 "," -106836 "," -114125 "
3.04.02.01," Comerciais "," "," "," "
3.04.02.02," Pagamentos baseados em ações "," "," "," "
3.04.02.03," Despesas gerais e administrativos "," -111627 "," -106836 "," -114125 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 0 "," 4302 "
3.04.04.01," Outras Receitas Operacionais "," 0 "," 0 "," 4302 "
3.04.05," Outras Despesas Operacionais "," -90311 "," -58038 "," 0 "
3.04.05.01," Outras Despesas Operacionais "," -90311 "," -58038 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.04.06.01," Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -112565 "," -147803 "," -257080 "
3.06," Resultado Financeiro "," -82985 "," -78589 "," -133010 "
3.06.01," Receitas Financeiras "," 7579 "," 10409 "," 14773 "
3.06.01.01," Receitas Financeiras "," 7579 "," 10409 "," 14773 "
3.06.02," Despesas Financeiras "," -90564 "," -88998 "," -147783 "
3.06.02.01," Despesas Financeiras "," -90564 "," -88998 "," -147783 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -195550 "," -226392 "," -390090 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 59271 "," 11700 "," -32325 "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," 59271 "," 11700 "," -32325 "
3.09," Resultado Líquido das Operações Continuadas "," -136279 "," -214692 "," -422415 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.01.01," Resultado líquido das operações descontinuadas "," "," "," "
3.10.01.02," IR e CS Corrente "," "," "," "
3.10.01.03," IR e CS Diferido "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -136279 "," -214692 "," -422415 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -136279 "," -214692 "," -422415 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -5.10210 "," -9.15270 "," -231.84900 "
3.99.01.02," PN "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -5.10210 "," -9.15270 "," -103.65260 "
3.99.02.02," PN "," "," "," "
