Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 7242 "," 5890 "," 5456 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1728 "," -1844 "," -1800 "
3.03," Resultado Bruto "," 5514 "," 4046 "," 3656 "
3.04," Despesas/Receitas Operacionais "," -1409 "," -1327 "," -3606 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -1549 "," -1441 "," -1275 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 140 "," 114 "," 121 "
3.04.05," Outras Despesas Operacionais "," 0 "," 0 "," -2452 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 4105 "," 2719 "," 50 "
3.06," Resultado Financeiro "," -3706 "," -2439 "," -2051 "
3.06.01," Receitas Financeiras "," 124 "," 37 "," 48 "
3.06.02," Despesas Financeiras "," -3830 "," -2476 "," -2099 "
3.06.02.01," Participações Debenturistas "," -2961 "," -1603 "," -1932 "
3.06.02.02," Outras Despesas Financeiras "," -869 "," -873 "," -167 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 399 "," 280 "," -2001 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -92 "," -66 "," 0 "
3.08.01," Corrente "," -92 "," -66 "," 0 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 307 "," 214 "," -2001 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 307 "," 214 "," -2001 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 307 "," 214 "," -2001 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 3.07000 "," 2.14000 "," -20.01000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
