Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 24907150 "," 13508787 "," 13560445 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -18568049 "," -9816078 "," -9588006 "
3.03," Resultado Bruto "," 6339101 "," 3692709 "," 3972439 "
3.04," Despesas/Receitas Operacionais "," 2337207 "," -1263482 "," -372583 "
3.04.01," Despesas com Vendas "," -716210 "," -927346 "," -1115813 "
3.04.02," Despesas Gerais e Administrativas "," -2053813 "," -1006625 "," -796322 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 387440 "," 71774 "," 428790 "
3.04.06," Resultado de Equivalência Patrimonial "," 4719790 "," 598715 "," 1110762 "
3.04.06.01," Equivalência patrimonial em associadas "," 129159 "," 15714 "," -20644 "
3.04.06.02," Equivalência patrimonial das controladas em conjunto "," 4590631 "," 583001 "," 1131406 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 8676308 "," 2429227 "," 3599856 "
3.06," Resultado Financeiro "," -2776285 "," -1262562 "," -398780 "
3.06.01," Receitas Financeiras "," 859459 "," 2029715 "," 1214155 "
3.06.01.01," Receitas financeiras "," 1234950 "," 227925 "," 742648 "
3.06.01.02," Variação cambial, líquida "," "," "," "
3.06.01.03," Derivativos "," -375491 "," 1801790 "," 471507 "
3.06.02," Despesas Financeiras "," -3635744 "," -3292277 "," -1612935 "
3.06.02.01," Despesas financeiras "," -3027089 "," -1679752 "," -1301443 "
3.06.02.02," Variação cambial "," -608655 "," -1612525 "," -311492 "
3.06.02.03," Derivativos "," "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 5900023 "," 1166665 "," 3201076 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 450753 "," -257851 "," -728822 "
3.08.01," Corrente "," -191012 "," -695832 "," -835708 "
3.08.02," Diferido "," 641765 "," 437981 "," 106886 "
3.09," Resultado Líquido das Operações Continuadas "," 6350776 "," 908814 "," 2472254 "
3.10," Resultado Líquido de Operações Descontinuadas "," 0 "," 0 "," 11021 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 6350776 "," 908814 "," 2483275 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 6123216 "," 851858 "," 2425405 "
3.11.02," Atribuído a Sócios Não Controladores "," 227560 "," 56956 "," 57870 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 3.33780 "," 0.55230 "," 6.15340 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 3.32640 "," 0.54720 "," 6.13200 "
