Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 14897920 "," 13073468 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -12476958 "," -9878188 "," 0 "
3.03," Resultado Bruto "," 2420962 "," 3195280 "," 0 "
3.04," Despesas/Receitas Operacionais "," -1277661 "," -1414020 "," 0 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -1190023 "," -1291504 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -40014 "," -94284 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," -47624 "," -28232 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1143301 "," 1781260 "," 0 "
3.06," Resultado Financeiro "," -1330190 "," -733660 "," 0 "
3.06.01," Receitas Financeiras "," 382409 "," 1096668 "," 0 "
3.06.02," Despesas Financeiras "," -1712599 "," -1830328 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -186889 "," 1047600 "," 0 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 584834 "," -355678 "," 0 "
3.08.01," Corrente "," 4252 "," -760093 "," 0 "
3.08.02," Diferido "," 580582 "," 404415 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 397945 "," 691922 "," 0 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 397945 "," 691922 "," 0 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," 691922 "," 0 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.08000 "," 2.28000 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.08000 "," 2.28000 "," 0.00000 "
