Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 514049 "," 456850 "," 423820 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -348030 "," -321085 "," -314555 "
3.03," Resultado Bruto "," 166019 "," 135765 "," 109265 "
3.04," Despesas/Receitas Operacionais "," -74460 "," -64915 "," -64196 "
3.04.01," Despesas com Vendas "," -2543 "," -1160 "," -1390 "
3.04.02," Despesas Gerais e Administrativas "," -76595 "," -68340 "," -67429 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 6811 "," 9284 "," 4775 "
3.04.05," Outras Despesas Operacionais "," -2133 "," -4699 "," -152 "
3.04.05.01," Outras Despesas Operacionais "," -2133 "," -4699 "," -152 "
3.04.05.02," Gastos com Reestruturação "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 91559 "," 70850 "," 45069 "
3.06," Resultado Financeiro "," -5977 "," -5476 "," -10982 "
3.06.01," Receitas Financeiras "," 4505 "," 4373 "," 1780 "
3.06.02," Despesas Financeiras "," -10482 "," -9849 "," -12762 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 85582 "," 65374 "," 34087 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -25089 "," -18593 "," -7255 "
3.08.01," Corrente "," -26937 "," -19654 "," -7654 "
3.08.02," Diferido "," 1848 "," 1061 "," 399 "
3.09," Resultado Líquido das Operações Continuadas "," 60493 "," 46781 "," 26832 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 60493 "," 46781 "," 26832 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
