Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 222612 "," 166770 "," 147514 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -39113 "," -24316 "," -24089 "
3.03," Resultado Bruto "," 183499 "," 142454 "," 123425 "
3.04," Despesas/Receitas Operacionais "," -139525 "," -106880 "," -119513 "
3.04.01," Despesas com Vendas "," -34182 "," -25559 "," -23279 "
3.04.02," Despesas Gerais e Administrativas "," -106559 "," -78827 "," -80086 "
3.04.02.01," Despesas administrativas "," -73332 "," -47229 "," -45731 "
3.04.02.02," Remuneração da administração "," -17143 "," -11482 "," -13397 "
3.04.02.03," Depreciação e amortização "," -16084 "," -20116 "," -20958 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 4140 "," 1237 "," 10866 "
3.04.05," Outras Despesas Operacionais "," -6512 "," -5828 "," -28244 "
3.04.06," Resultado de Equivalência Patrimonial "," 3588 "," 2097 "," 1230 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 43974 "," 35574 "," 3912 "
3.06," Resultado Financeiro "," 20136 "," -5956 "," 6982 "
3.06.01," Receitas Financeiras "," 52989 "," 25818 "," 23214 "
3.06.02," Despesas Financeiras "," -32853 "," -31774 "," -16232 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 64110 "," 29618 "," 10894 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -6958 "," -16558 "," -13670 "
3.08.01," Corrente "," -12767 "," -22162 "," -14465 "
3.08.02," Diferido "," 5809 "," 5604 "," 795 "
3.09," Resultado Líquido das Operações Continuadas "," 57152 "," 13060 "," -2776 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 57152 "," 13060 "," -2776 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 43786 "," -5125 "," -4282 "
3.11.02," Atribuído a Sócios Não Controladores "," 13366 "," 18185 "," 1506 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.31059 "," -0.03473 "," -0.03316 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.31059 "," -0.03473 "," -0.03316 "
