Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1720723 "," 1535079 "," 1422517 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1109802 "," -1028826 "," -972577 "
3.03," Resultado Bruto "," 610921 "," 506253 "," 449940 "
3.04," Despesas/Receitas Operacionais "," -499735 "," -457130 "," -364898 "
3.04.01," Despesas com Vendas "," -368098 "," -335448 "," -267299 "
3.04.02," Despesas Gerais e Administrativas "," -137664 "," -126500 "," -115652 "
3.04.02.01," Gerais e Administrativas "," -122571 "," -113915 "," -103627 "
3.04.02.02," Honorários da Administração "," -15093 "," -12585 "," -12025 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 6027 "," 4818 "," 18053 "
3.04.04.01," Outras, Líquidas "," 6027 "," 4818 "," 18053 "
3.04.04.02," Recuperação de Impostos "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.05.01," Outras, Líquidas "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 111186 "," 49123 "," 85042 "
3.06," Resultado Financeiro "," -265627 "," -230785 "," -224957 "
3.06.01," Receitas Financeiras "," 29641 "," 24854 "," 35079 "
3.06.01.01," Receitas Financeiras "," 29641 "," 24854 "," 35079 "
3.06.01.02," Variações Cambiais, Líquidas "," "," "," "
3.06.02," Despesas Financeiras "," -295268 "," -255639 "," -260036 "
3.06.02.01," Despesas Financeiras - Juros e Encargos "," -169073 "," -123954 "," -137478 "
3.06.02.02," Despesas Bancárias, Impostos, Descontos e Outros "," -108923 "," -88205 "," -64216 "
3.06.02.03," Variações Cambiais Líquidas "," -3717 "," -29582 "," -30683 "
3.06.02.04," Despesas Financeiras - Juros sobre Arrendamentos "," -13555 "," -13898 "," -27659 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -154441 "," -181662 "," -139915 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 865 "," -72290 "," 557 "
3.08.01," Corrente "," -322 "," -622 "," 4317 "
3.08.02," Diferido "," 1187 "," -71668 "," -3760 "
3.09," Resultado Líquido das Operações Continuadas "," -153576 "," -253952 "," -139358 "
3.10," Resultado Líquido de Operações Descontinuadas "," 0 "," -66988 "," 185082 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 0 "," -66988 "," 185082 "
3.10.01.01," Resultado Proveniente das Operações Descontinuadas de Controladas "," 0 "," -66988 "," 185082 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -153576 "," -320940 "," 45724 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," -320940 "," 45724 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -3.07150 "," -5.07890 "," -2.78710 "
3.99.01.02," ON "," 0.00000 "," -1.33980 "," 3.70160 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -3.07150 "," -5.07890 "," -2.78710 "
3.99.02.02," ON "," 0.00000 "," -1.33980 "," 3.70160 "
