Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 4391378 "," 3853737 "," 3565036 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2002255 "," -1744913 "," -1520718 "
3.03," Resultado Bruto "," 2389123 "," 2108824 "," 2044318 "
3.04," Despesas/Receitas Operacionais "," -1842531 "," -1752445 "," -1144300 "
3.04.01," Despesas com Vendas "," -894994 "," -859794 "," -571639 "
3.04.02," Despesas Gerais e Administrativas "," -973188 "," -895044 "," -587065 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 28250 "," 9819 "," 15012 "
3.04.05," Outras Despesas Operacionais "," -2599 "," -7426 "," -608 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 546592 "," 356379 "," 900018 "
3.06," Resultado Financeiro "," -435963 "," -351414 "," -242090 "
3.06.01," Receitas Financeiras "," 247253 "," 245989 "," 99141 "
3.06.02," Despesas Financeiras "," -683216 "," -597403 "," -341231 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 110629 "," 4965 "," 657928 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 47542 "," 93216 "," -11788 "
3.08.01," Corrente "," -6841 "," -39808 "," -49803 "
3.08.02," Diferido "," 54383 "," 133024 "," 38015 "
3.09," Resultado Líquido das Operações Continuadas "," 158171 "," 98181 "," 646140 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 158171 "," 98181 "," 646140 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 158171 "," 98181 "," 646140 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.52423 "," 0.32611 "," 2.15056 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.52422 "," 0.32587 "," 2.14927 "
