Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 619643 "," 513301 "," 407765 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -393880 "," -374334 "," -245840 "
3.03," Resultado Bruto "," 225763 "," 138967 "," 161925 "
3.04," Despesas/Receitas Operacionais "," -163527 "," -211280 "," -71705 "
3.04.01," Despesas com Vendas "," -76698 "," -50655 "," -38722 "
3.04.02," Despesas Gerais e Administrativas "," -60686 "," -46839 "," -28649 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.04.01," Ajuste de Avaliação Patrimonial "," "," "," "
3.04.05," Outras Despesas Operacionais "," -27244 "," -121692 "," -4334 "
3.04.06," Resultado de Equivalência Patrimonial "," 1101 "," 7906 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 62236 "," -72313 "," 90220 "
3.06," Resultado Financeiro "," 36555 "," -21457 "," -179725 "
3.06.01," Receitas Financeiras "," 59987 "," 25462 "," 25299 "
3.06.02," Despesas Financeiras "," -23432 "," -46919 "," -205024 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 98791 "," -93770 "," -89505 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -13848 "," -10629 "," -9640 "
3.08.01," Corrente "," -13618 "," -10824 "," -10006 "
3.08.02," Diferido "," -230 "," 195 "," 366 "
3.09," Resultado Líquido das Operações Continuadas "," 84943 "," -104399 "," -99145 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 84943 "," -104399 "," -99145 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 82954 "," -100115 "," -96331 "
3.11.02," Atribuído a Sócios Não Controladores "," 1989 "," -4284 "," -2814 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
