Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2365296 "," 1919209 "," 1797647 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1814589 "," -1383287 "," -1308895 "
3.03," Resultado Bruto "," 550707 "," 535922 "," 488752 "
3.04," Despesas/Receitas Operacionais "," -348583 "," -388585 "," -484932 "
3.04.01," Despesas com Vendas "," -260626 "," -266434 "," -388630 "
3.04.02," Despesas Gerais e Administrativas "," -77641 "," -76451 "," -94222 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 5434 "," 0 "," 23303 "
3.04.05," Outras Despesas Operacionais "," -16282 "," -45594 "," -25242 "
3.04.05.01," Honorários da administração "," -5199 "," -3483 "," -9689 "
3.04.05.02," Depreciação e amortização "," -11083 "," -13216 "," -15553 "
3.04.05.03," Outras despesas operacionais líquidas "," 0 "," -28895 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," 532 "," -106 "," -141 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 202124 "," 147337 "," 3820 "
3.06," Resultado Financeiro "," -62278 "," -47246 "," -67702 "
3.06.01," Receitas Financeiras "," 30415 "," 57190 "," 50168 "
3.06.02," Despesas Financeiras "," -92693 "," -104436 "," -117870 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 139846 "," 100091 "," -63882 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -5544 "," 2371 "," -5561 "
3.08.01," Corrente "," 7767 "," -135 "," 1075 "
3.08.02," Diferido "," -13311 "," 2506 "," -6636 "
3.09," Resultado Líquido das Operações Continuadas "," 134302 "," 102462 "," -69443 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 134302 "," 102462 "," -69443 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 134302 "," 102462 "," -69443 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 6.93433 "," 5.29035 "," -3.58549 "
3.99.01.02," PNA "," 6.93433 "," 5.29035 "," -3.58549 "
3.99.01.03," PNB "," 6.93433 "," 5.29035 "," -3.58549 "
3.99.02," Lucro Diluído por Ação "," "," "," "
