Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 143337 "," 101601 "," 106536 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -54668 "," -37949 "," -33537 "
3.03," Resultado Bruto "," 88669 "," 63652 "," 72999 "
3.04," Despesas/Receitas Operacionais "," -143615 "," -237706 "," -167390 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -100482 "," -95757 "," -109742 "
3.04.02.01," Gerais e Administrativas "," -88941 "," -80079 "," -92084 "
3.04.02.02," Honorários da Diretoria "," -2554 "," -4302 "," -5285 "
3.04.02.03," Depreciações e Amortizações "," -8987 "," -11376 "," -12373 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -7000 "," -118862 "," 0 "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -35440 "," -23087 "," -57648 "
3.04.06," Resultado de Equivalência Patrimonial "," -693 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -54946 "," -174054 "," -94391 "
3.06," Resultado Financeiro "," -17528 "," -3839 "," 2186 "
3.06.01," Receitas Financeiras "," 1874 "," 1829 "," 5159 "
3.06.02," Despesas Financeiras "," -19402 "," -5668 "," -2973 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -72474 "," -177893 "," -92205 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -664 "," -978 "," -696 "
3.08.01," Corrente "," -664 "," -978 "," -696 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -73138 "," -178871 "," -92901 "
3.10," Resultado Líquido de Operações Descontinuadas "," 0 "," 979 "," 22136 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 0 "," 979 "," 22136 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -73138 "," -177892 "," -70765 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -72944 "," -178125 "," -89128 "
3.11.02," Atribuído a Sócios Não Controladores "," -194 "," 233 "," 18363 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.68331 "," 5.02029 "," -2.51199 "
3.99.02," Lucro Diluído por Ação "," "," "," "
