Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 128388 "," 75183 "," 63422 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -107871 "," -60523 "," -52372 "
3.03," Resultado Bruto "," 20517 "," 14660 "," 11050 "
3.04," Despesas/Receitas Operacionais "," -8624 "," -9265 "," -10172 "
3.04.01," Despesas com Vendas "," -8861 "," -5467 "," -7650 "
3.04.02," Despesas Gerais e Administrativas "," -6003 "," -4318 "," -4750 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 6739 "," 955 "," 3133 "
3.04.05," Outras Despesas Operacionais "," -499 "," -435 "," -905 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 11893 "," 5395 "," 878 "
3.06," Resultado Financeiro "," -3017 "," -1133 "," 45167 "
3.06.01," Receitas Financeiras "," 1883 "," 2524 "," 58072 "
3.06.02," Despesas Financeiras "," -4900 "," -3657 "," -12905 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 8876 "," 4262 "," 46045 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -2184 "," -830 "," -11588 "
3.08.01," Corrente "," -2215 "," -862 "," 0 "
3.08.02," Diferido "," 31 "," 32 "," -11588 "
3.09," Resultado Líquido das Operações Continuadas "," 6692 "," 3432 "," 34457 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 6692 "," 3432 "," 34457 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 6692 "," 3432 "," 34457 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 52.30000 "," 26.81000 "," 269.20000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 52.30000 "," 26.81000 "," 269.20000 "
