Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1776380 "," 1500723 "," 1458228 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1129274 "," -978154 "," -967112 "
3.03," Resultado Bruto "," 647106 "," 522569 "," 491116 "
3.04," Despesas/Receitas Operacionais "," -324241 "," -301206 "," -298099 "
3.04.01," Despesas com Vendas "," -190902 "," -158044 "," -146206 "
3.04.02," Despesas Gerais e Administrativas "," -132511 "," -115572 "," -112406 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 241693 "," 65114 "," 60617 "
3.04.05," Outras Despesas Operacionais "," -260080 "," -96168 "," -102498 "
3.04.06," Resultado de Equivalência Patrimonial "," 17559 "," 3464 "," 2394 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 322865 "," 221363 "," 193017 "
3.06," Resultado Financeiro "," -78542 "," -40120 "," -39215 "
3.06.01," Receitas Financeiras "," 80632 "," 44116 "," 40941 "
3.06.02," Despesas Financeiras "," -159174 "," -84236 "," -80156 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 244323 "," 181243 "," 153802 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -35563 "," -31110 "," -32986 "
3.08.01," Corrente "," -33784 "," -32078 "," -33782 "
3.08.02," Diferido "," -1779 "," 968 "," 796 "
3.09," Resultado Líquido das Operações Continuadas "," 208760 "," 150133 "," 120816 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 208760 "," 150133 "," 120816 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 159504 "," 113073 "," 100476 "
3.11.02," Atribuído a Sócios Não Controladores "," 49256 "," 37060 "," 20340 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.10000 "," 0.76000 "," 0.68000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.09000 "," 0.76000 "," 0.67000 "
