Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 270852 "," 278424 "," 209474 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -57884 "," -86631 "," -98734 "
3.02.01," Energia Elétrica Comprada para Revenda "," -4 "," -16 "," -2352 "
3.02.02," Encargos de Uso do Sistema de Transmissão "," -397 "," -586 "," -622 "
3.02.03," Pessoal e Administradores "," -22685 "," -20921 "," -20443 "
3.02.04," Entidade de Previdência Privada "," "," "," "
3.02.05," Materiais "," -2505 "," -70 "," -1028 "
3.02.06," Serviço de Terceiros "," -9183 "," -8218 "," -7789 "
3.02.07," Depreciação/Amortização "," -145 "," -290 "," -305 "
3.02.08," Tributos "," -34 "," -11 "," -218 "
3.02.09," Provisões para Créditos de Liquidação Duvidosa "," 5 "," -1248 "," -772 "
3.02.10," Taxa de Fiscalização "," "," "," "
3.02.11," Recuperação de Despesas "," 397 "," 28 "," 1230 "
3.02.12," Custos de Construção "," -21996 "," -53671 "," -64823 "
3.02.13," Compensação Financeira Utilização Recursos Hídricos "," "," "," "
3.02.14," Outros "," -1337 "," -1628 "," -1612 "
3.02.15," Provisão para Contingências "," "," "," "
3.02.16," Provisão para Redução ao Valor Recuperável "," "," "," "
3.03," Resultado Bruto "," 212968 "," 191793 "," 110740 "
3.04," Despesas/Receitas Operacionais "," 8371 "," 47865 "," -14419 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -43333 "," -45078 "," -41467 "
3.04.02.01," Pessoal e Administradores "," -30301 "," -29045 "," -30572 "
3.04.02.02," Entidade de Previdência Privada "," "," "," "
3.04.02.03," Materiais "," -757 "," -400 "," -655 "
3.04.02.04," Serviços de Terceiros "," -8533 "," -5143 "," -4522 "
3.04.02.05," Depreciação/Amortização "," -825 "," -971 "," -1048 "
3.04.02.06," Tributos "," -1546 "," -4164 "," -2585 "
3.04.02.07," Provisões "," "," "," "
3.04.02.08," Recuperação de Despesas "," 224 "," 32 "," 22 "
3.04.02.09," Outras "," -1707 "," -1539 "," -1882 "
3.04.02.10," Provisão para Contingências "," 112 "," -3848 "," -225 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 44040 "," 72790 "," 19106 "
3.04.05," Outras Despesas Operacionais "," -12002 "," 0 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," 19666 "," 20153 "," 7942 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 221339 "," 239658 "," 96321 "
3.06," Resultado Financeiro "," -168 "," 6273 "," 8587 "
3.06.01," Receitas Financeiras "," 16566 "," 13342 "," 15975 "
3.06.01.01," Rendas "," 9358 "," 11937 "," 15212 "
3.06.01.02," Variações Monetárias e Cambiais "," 72 "," 64 "," 20 "
3.06.01.03," Outras "," 7136 "," 1341 "," 743 "
3.06.02," Despesas Financeiras "," -16734 "," -7069 "," -7388 "
3.06.02.01," Encargos de Dívidas "," -16348 "," -6740 "," -6839 "
3.06.02.02," Variações Monetárias e Cambiais "," -364 "," -278 "," -493 "
3.06.02.03," Outras "," -22 "," -51 "," -56 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 221171 "," 245931 "," 104908 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -70124 "," -79495 "," -32986 "
3.08.01," Corrente "," -23980 "," -36052 "," -28496 "
3.08.02," Diferido "," -46144 "," -43443 "," -4490 "
3.09," Resultado Líquido das Operações Continuadas "," 151047 "," 166436 "," 71922 "
3.10," Resultado Líquido de Operações Descontinuadas "," 18772 "," 0 "," 0 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 169819 "," 166436 "," 71922 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 169819 "," 166436 "," 71922 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 2.17900 "," 2.13600 "," 2.19400 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 2.17900 "," 2.13600 "," 2.19400 "
