Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 5937373 "," 4088871 "," 3294749 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2134487 "," -1459596 "," -1209057 "
3.03," Resultado Bruto "," 3802886 "," 2629275 "," 2085692 "
3.04," Despesas/Receitas Operacionais "," -1834885 "," -1310391 "," -1000018 "
3.04.01," Despesas com Vendas "," -1656942 "," -1355581 "," -1401629 "
3.04.02," Despesas Gerais e Administrativas "," -237597 "," -208397 "," -209262 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 55757 "," 253959 "," 635486 "
3.04.05," Outras Despesas Operacionais "," -7054 "," -17205 "," -34252 "
3.04.06," Resultado de Equivalência Patrimonial "," 10951 "," 16833 "," 9639 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1968001 "," 1318884 "," 1085674 "
3.06," Resultado Financeiro "," -323672 "," -75428 "," 14417 "
3.06.01," Receitas Financeiras "," 121434 "," 146514 "," 96169 "
3.06.02," Despesas Financeiras "," -445106 "," -221942 "," -81752 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1644329 "," 1243456 "," 1100091 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -26580 "," 78173 "," 88894 "
3.08.01," Corrente "," -1275 "," -28279 "," -29640 "
3.08.02," Diferido "," -25305 "," 106452 "," 118534 "
3.09," Resultado Líquido das Operações Continuadas "," 1617749 "," 1321629 "," 1188985 "
3.10," Resultado Líquido de Operações Descontinuadas "," -287444 "," -26513 "," -24945 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," -287444 "," -26513 "," -24945 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 1330305 "," 1295116 "," 1164040 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1330208 "," 1295116 "," 1164040 "
3.11.02," Atribuído a Sócios Não Controladores "," 97 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 2.10502 "," 2.05123 "," 1.84391 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 2.08012 "," 2.02888 "," 1.81900 "
