Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 738118 "," 506339 "," 439465 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -335130 "," -306915 "," -282493 "
3.03," Resultado Bruto "," 402988 "," 199424 "," 156972 "
3.04," Despesas/Receitas Operacionais "," -256235 "," -185890 "," -199960 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -246531 "," -185259 "," -188475 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -12566 "," -3298 "," -12239 "
3.04.03.01," Provisão para perdas de crédito esperadas "," -12668 "," -3147 "," -11474 "
3.04.03.02," Reversão (perdas) estimadas por valor não recuperável e valor justo "," 102 "," -151 "," -765 "
3.04.04," Outras Receitas Operacionais "," 2862 "," 2667 "," 754 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 146753 "," 13534 "," -42988 "
3.06," Resultado Financeiro "," -5565 "," -10940 "," -14056 "
3.06.01," Receitas Financeiras "," 26933 "," 14153 "," 13917 "
3.06.02," Despesas Financeiras "," -32498 "," -25093 "," -27973 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 141188 "," 2594 "," -57044 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -38881 "," -7341 "," 12064 "
3.08.01," Corrente "," -33338 "," -9330 "," -7354 "
3.08.02," Diferido "," -5543 "," 1989 "," 19418 "
3.09," Resultado Líquido das Operações Continuadas "," 102307 "," -4747 "," -44980 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 102307 "," -4747 "," -44980 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 102486 "," -4747 "," -44980 "
3.11.02," Atribuído a Sócios Não Controladores "," -179 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.49000 "," -0.02000 "," -0.23000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.49000 "," -0.02000 "," -0.23000 "
