Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 650 "," 508 "," 506 "
3.01.01," Rendas de Recebiveis "," 681 "," 533 "," 536 "
3.01.02," (-) Dedução de Impostos "," -31 "," -25 "," -30 "
3.01.03," (-) Custo de Alienação de Créditos "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.02.01," Despesas de Captação "," "," "," "
3.03," Resultado Bruto "," 650 "," 508 "," 506 "
3.04," Despesas/Receitas Operacionais "," -625 "," -545 "," -492 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -677 "," -578 "," -585 "
3.04.02.01," Despesas Administrativas "," -676 "," -576 "," -584 "
3.04.02.02," Despesas Tributárias "," -1 "," -2 "," -1 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 0 "," 0 "," -43 "
3.04.04," Outras Receitas Operacionais "," 52 "," 33 "," 136 "
3.04.04.01," Créditos Tributários de Lastros "," 49 "," 23 "," 50 "
3.04.04.20," Outras Receitas Operacionais "," 3 "," 10 "," 86 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 25 "," -37 "," 14 "
3.06," Resultado Financeiro "," 29 "," 16 "," 39 "
3.06.01," Receitas Financeiras "," 29 "," 16 "," 39 "
3.06.02," Despesas Financeiras "," "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 54 "," -21 "," 53 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -13 "," 5 "," -13 "
3.08.01," Corrente "," -9 "," 0 "," -13 "
3.08.02," Diferido "," -4 "," 5 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 41 "," -16 "," 40 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 41 "," -16 "," 40 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.08000 "," -0.03200 "," 0.08000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
