Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2923827 "," 1590992 "," 1679235 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1385147 "," -835779 "," -903541 "
3.03," Resultado Bruto "," 1538680 "," 755213 "," 775694 "
3.04," Despesas/Receitas Operacionais "," -1070155 "," -663104 "," -552592 "
3.04.01," Despesas com Vendas "," -884411 "," -529953 "," -424366 "
3.04.02," Despesas Gerais e Administrativas "," -316217 "," -162234 "," -184012 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 146163 "," 56201 "," 0 "
3.04.05," Outras Despesas Operacionais "," -15690 "," -27118 "," 55786 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 468525 "," 92109 "," 223102 "
3.06," Resultado Financeiro "," -64671 "," -37551 "," -18176 "
3.06.01," Receitas Financeiras "," 42377 "," 65531 "," 24720 "
3.06.01.01," Receitas Financeiras "," 26313 "," 16463 "," 18344 "
3.06.01.02," Variações Cambiais Ativas "," 16064 "," 49068 "," 6376 "
3.06.02," Despesas Financeiras "," -107048 "," -103082 "," -42896 "
3.06.02.01," Despesa Financeira "," -88507 "," -51604 "," -29646 "
3.06.02.02," Variações Cambiais Passivas "," -18541 "," -51478 "," -13250 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 403854 "," 54558 "," 204926 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -60134 "," -5974 "," -42787 "
3.08.01," Corrente "," -64286 "," -46596 "," -42659 "
3.08.02," Diferido "," 4152 "," 40622 "," -128 "
3.09," Resultado Líquido das Operações Continuadas "," 343720 "," 48584 "," 162139 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 343720 "," 48584 "," 162139 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 345234 "," 48584 "," 162139 "
3.11.02," Atribuído a Sócios Não Controladores "," -1514 "," 0 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 3.45140 "," 0.53020 "," 1.78790 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 3.38130 "," 0.52830 "," 1.77990 "
