Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 937677 "," 797585 "," 743186 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -300793 "," -269549 "," -200075 "
3.03," Resultado Bruto "," 636884 "," 528036 "," 543111 "
3.04," Despesas/Receitas Operacionais "," -146826 "," -207801 "," -289063 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -195177 "," -187295 "," -127130 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 3502 "," 0 "," 0 "
3.04.05," Outras Despesas Operacionais "," 0 "," -47766 "," -205008 "
3.04.06," Resultado de Equivalência Patrimonial "," 44849 "," 27260 "," 43075 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 490058 "," 320235 "," 254048 "
3.06," Resultado Financeiro "," -150168 "," -53972 "," -149578 "
3.06.01," Receitas Financeiras "," 66561 "," 100090 "," 58308 "
3.06.02," Despesas Financeiras "," -216729 "," -154062 "," -207886 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 339890 "," 266263 "," 104470 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -21485 "," -63790 "," -47838 "
3.08.01," Corrente "," -61379 "," -30254 "," -41463 "
3.08.02," Diferido "," 39894 "," -33536 "," -6375 "
3.09," Resultado Líquido das Operações Continuadas "," 318405 "," 202473 "," 56632 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 318405 "," 202473 "," 56632 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 274868 "," 169071 "," 22027 "
3.11.02," Atribuído a Sócios Não Controladores "," 43537 "," 33402 "," 34605 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.03640 "," 0.63860 "," 0.10120 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.03640 "," 0.63860 "," 0.10120 "
