Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 186892 "," 269353 "," 335699 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.03," Resultado Bruto "," 186892 "," 269353 "," 335699 "
3.04," Despesas/Receitas Operacionais "," -108381 "," -83658 "," -145169 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -93350 "," -79924 "," -134166 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -15031 "," -3734 "," -11003 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 78511 "," 185695 "," 190530 "
3.06," Resultado Financeiro "," -37956 "," -5401 "," -3290 "
3.06.01," Receitas Financeiras "," 4122 "," 1626 "," 3476 "
3.06.02," Despesas Financeiras "," -42078 "," -7027 "," -6766 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 40555 "," 180294 "," 187240 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -9733 "," -44449 "," -45411 "
3.08.01," Corrente "," -9733 "," -44449 "," -45411 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 30822 "," 135845 "," 141829 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 30822 "," 135845 "," 141829 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.06632 "," 4.69971 "," 0.95000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
