Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2096548 "," 2025951 "," 2001326 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -425867 "," -362180 "," -379484 "
3.03," Resultado Bruto "," 1670681 "," 1663771 "," 1621842 "
3.04," Despesas/Receitas Operacionais "," -1033894 "," -1054541 "," -1047564 "
3.04.01," Despesas com Vendas "," -484364 "," -321674 "," -277706 "
3.04.02," Despesas Gerais e Administrativas "," -411131 "," -494199 "," -586431 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -92075 "," -111596 "," -71039 "
3.04.04," Outras Receitas Operacionais "," 26081 "," 7561 "," 16351 "
3.04.05," Outras Despesas Operacionais "," -69765 "," -134633 "," -128739 "
3.04.06," Resultado de Equivalência Patrimonial "," -2640 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 636787 "," 609230 "," 574278 "
3.06," Resultado Financeiro "," -82436 "," -56943 "," -36749 "
3.06.01," Receitas Financeiras "," 145972 "," 52571 "," 79219 "
3.06.02," Despesas Financeiras "," -228408 "," -109514 "," -115968 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 554351 "," 552287 "," 537529 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -177045 "," -157100 "," -165352 "
3.08.01," Corrente "," -133933 "," -170778 "," -217298 "
3.08.02," Diferido "," -43112 "," 13678 "," 51946 "
3.09," Resultado Líquido das Operações Continuadas "," 377306 "," 395187 "," 372177 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 377306 "," 395187 "," 372177 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 365812 "," 392101 "," 372177 "
3.11.02," Atribuído a Sócios Não Controladores "," 11494 "," 3086 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.31704 "," 1.38250 "," 1.32648 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.31647 "," 1.38197 "," 1.32341 "
