Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 565054 "," 477180 "," 438070 "
3.01.01," Fornecimento de Energia Eletrica "," 564454 "," 476731 "," 437244 "
3.01.02," Serviços Prestados "," 600 "," 449 "," 826 "
3.01.03," Receita de venda ou reembolso de projetos "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -205830 "," -238307 "," -218842 "
3.02.01," Custo do Fornecimento de Energia Elétrica "," -297232 "," -232614 "," -213625 "
3.02.02," Custo dos Serviços Prestados "," -4923 "," -5693 "," -5217 "
3.02.03," Repactuação do risco hidrológico "," 96364 "," 0 "," 0 "
3.02.04," Custo de venda de mercadorias "," -39 "," 0 "," 0 "
3.03," Resultado Bruto "," 359224 "," 238873 "," 219228 "
3.04," Despesas/Receitas Operacionais "," -120320 "," -108901 "," -106550 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -120468 "," -101889 "," -94785 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.04.01," Com estudos em desenvolvimento "," "," "," "
3.04.04.02," Outras receitas operacionais liquidas "," "," "," "
3.04.05," Outras Despesas Operacionais "," -13298 "," -27215 "," -22370 "
3.04.05.01," Honorários da Administração "," "," "," "
3.04.05.02," Com estudos em desenvolvimento "," "," "," "
3.04.05.03," Perdas com contratos de energia "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 13446 "," 20203 "," 10605 "
3.04.06.01," Equivalencia Patrimonial "," 12555 "," 15177 "," 6291 "
3.04.06.02," Dividendos Recebidos "," 891 "," 5026 "," 4314 "
3.04.06.04," Ganho(perda) com Investimentos "," "," "," "
3.04.06.05," Amortização de ágio "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 238904 "," 129972 "," 112678 "
3.06," Resultado Financeiro "," -27308 "," -56157 "," -39559 "
3.06.01," Receitas Financeiras "," 34020 "," 12286 "," 23046 "
3.06.02," Despesas Financeiras "," -61328 "," -68443 "," -62605 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 211596 "," 73815 "," 73119 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -27799 "," -14130 "," -28159 "
3.08.01," Corrente "," -17945 "," -16722 "," -34739 "
3.08.02," Diferido "," -9854 "," 2592 "," 6580 "
3.09," Resultado Líquido das Operações Continuadas "," 183797 "," 59685 "," 44960 "
3.10," Resultado Líquido de Operações Descontinuadas "," -178 "," -181 "," 276 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," -178 "," -181 "," 276 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 183619 "," 59504 "," 45236 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 183619 "," 59504 "," 45236 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.60862 "," 0.27249 "," 0.20589 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
